structure_id,path,n_atoms,lattice_a,lattice_b,lattice_c,gb_type,gb_normal,z0_A,delta_A,translation_state,li_vac_count,li_vac_conc,li_vac_region,deleted_li_indices,notes
bulk_ordered,01_structures/bulk_ordered/POSCAR,416,20.561000,20.561000,20.561000,NA,NA,NA,NA,NA,0,0.000000,bulk,,source=done.cif; optimized_2x2x2_reference; bulk_supercell=1x1x1_from_source
bulk_Li_vac_c1_s1,01_structures/bulk_Li_vac_c1_s1/POSCAR,415,20.561000,20.561000,20.561000,NA,NA,NA,NA,NA,1,0.005208,bulk,89,source=bulk_ordered; deleted_sorted_Li_indices=[89]; selection=maximally_separated_pairs
bulk_Li_vac_c1_s2,01_structures/bulk_Li_vac_c1_s2/POSCAR,415,20.561000,20.561000,20.561000,NA,NA,NA,NA,NA,1,0.005208,bulk,113,source=bulk_ordered; deleted_sorted_Li_indices=[113]; selection=maximally_separated_pairs
bulk_Li_vac_c2_s1,01_structures/bulk_Li_vac_c2_s1/POSCAR,414,20.561000,20.561000,20.561000,NA,NA,NA,NA,NA,2,0.010417,bulk,"89,113","source=bulk_ordered; deleted_sorted_Li_indices=[89, 113]; selection=maximally_separated_pairs"
bulk_Li_vac_c2_s2,01_structures/bulk_Li_vac_c2_s2/POSCAR,414,20.561000,20.561000,20.561000,NA,NA,NA,NA,NA,2,0.010417,bulk,"88,112","source=bulk_ordered; deleted_sorted_Li_indices=[88, 112]; selection=maximally_separated_pairs"
gb_Sigma3_t1,01_structures/gb_Sigma3_t1/POSCAR,624,25.181979,14.538823,37.212697,Sigma3_[111]_(1-21),z,18.606348,10.000000,t1,0,0.000000,within_delta,,"source=Li6PS5Cl.cif; sigma=3; axis=[1, 1, 1]; plane=[1, -2, 1]; gb_gap_A=0.800; gb_c_repeats=1; shift_xy=(0.3333333333333333, 0.0)"
gb_Sigma3_t1_Li_vac_c1_s1,01_structures/gb_Sigma3_t1_Li_vac_c1_s1/POSCAR,623,25.181979,14.538823,37.212697,Sigma3_[111]_(1-21),z,18.606348,10.000000,t1,1,0.003472,within_delta,85,"source=Li6PS5Cl.cif; sigma=3; axis=[1, 1, 1]; plane=[1, -2, 1]; gb_gap_A=0.800; gb_c_repeats=1; shift_xy=(0.3333333333333333, 0.0); deleted_sorted_Li_indices=[85]; selection=within_delta_maximally_separated_pairs"
gb_Sigma3_t1_Li_vac_c1_s2,01_structures/gb_Sigma3_t1_Li_vac_c1_s2/POSCAR,623,25.181979,14.538823,37.212697,Sigma3_[111]_(1-21),z,18.606348,10.000000,t1,1,0.003472,within_delta,258,"source=Li6PS5Cl.cif; sigma=3; axis=[1, 1, 1]; plane=[1, -2, 1]; gb_gap_A=0.800; gb_c_repeats=1; shift_xy=(0.3333333333333333, 0.0); deleted_sorted_Li_indices=[258]; selection=within_delta_maximally_separated_pairs"
gb_Sigma3_t1_Li_vac_c2_s1,01_structures/gb_Sigma3_t1_Li_vac_c2_s1/POSCAR,622,25.181979,14.538823,37.212697,Sigma3_[111]_(1-21),z,18.606348,10.000000,t1,2,0.006944,within_delta,"85,258","source=Li6PS5Cl.cif; sigma=3; axis=[1, 1, 1]; plane=[1, -2, 1]; gb_gap_A=0.800; gb_c_repeats=1; shift_xy=(0.3333333333333333, 0.0); deleted_sorted_Li_indices=[85, 258]; selection=within_delta_maximally_separated_pairs"
gb_Sigma3_t1_Li_vac_c2_s2,01_structures/gb_Sigma3_t1_Li_vac_c2_s2/POSCAR,622,25.181979,14.538823,37.212697,Sigma3_[111]_(1-21),z,18.606348,10.000000,t1,2,0.006944,within_delta,"13,191","source=Li6PS5Cl.cif; sigma=3; axis=[1, 1, 1]; plane=[1, -2, 1]; gb_gap_A=0.800; gb_c_repeats=1; shift_xy=(0.3333333333333333, 0.0); deleted_sorted_Li_indices=[13, 191]; selection=within_delta_maximally_separated_pairs"
gb_Sigma3_t2,01_structures/gb_Sigma3_t2/POSCAR,624,25.181979,14.538823,37.212697,Sigma3_[111]_(1-21),z,18.606348,10.000000,t2,0,0.000000,within_delta,,"source=Li6PS5Cl.cif; sigma=3; axis=[1, 1, 1]; plane=[1, -2, 1]; gb_gap_A=0.800; gb_c_repeats=1; shift_xy=(0.3333333333333333, 0.5)"
gb_Sigma3_t2_Li_vac_c1_s1,01_structures/gb_Sigma3_t2_Li_vac_c1_s1/POSCAR,623,25.181979,14.538823,37.212697,Sigma3_[111]_(1-21),z,18.606348,10.000000,t2,1,0.003472,within_delta,121,"source=Li6PS5Cl.cif; sigma=3; axis=[1, 1, 1]; plane=[1, -2, 1]; gb_gap_A=0.800; gb_c_repeats=1; shift_xy=(0.3333333333333333, 0.5); deleted_sorted_Li_indices=[121]; selection=within_delta_maximally_separated_pairs"
gb_Sigma3_t2_Li_vac_c1_s2,01_structures/gb_Sigma3_t2_Li_vac_c1_s2/POSCAR,623,25.181979,14.538823,37.212697,Sigma3_[111]_(1-21),z,18.606348,10.000000,t2,1,0.003472,within_delta,223,"source=Li6PS5Cl.cif; sigma=3; axis=[1, 1, 1]; plane=[1, -2, 1]; gb_gap_A=0.800; gb_c_repeats=1; shift_xy=(0.3333333333333333, 0.5); deleted_sorted_Li_indices=[223]; selection=within_delta_maximally_separated_pairs"
gb_Sigma3_t2_Li_vac_c2_s1,01_structures/gb_Sigma3_t2_Li_vac_c2_s1/POSCAR,622,25.181979,14.538823,37.212697,Sigma3_[111]_(1-21),z,18.606348,10.000000,t2,2,0.006944,within_delta,"121,223","source=Li6PS5Cl.cif; sigma=3; axis=[1, 1, 1]; plane=[1, -2, 1]; gb_gap_A=0.800; gb_c_repeats=1; shift_xy=(0.3333333333333333, 0.5); deleted_sorted_Li_indices=[121, 223]; selection=within_delta_maximally_separated_pairs"
gb_Sigma3_t2_Li_vac_c2_s2,01_structures/gb_Sigma3_t2_Li_vac_c2_s2/POSCAR,622,25.181979,14.538823,37.212697,Sigma3_[111]_(1-21),z,18.606348,10.000000,t2,2,0.006944,within_delta,"97,258","source=Li6PS5Cl.cif; sigma=3; axis=[1, 1, 1]; plane=[1, -2, 1]; gb_gap_A=0.800; gb_c_repeats=1; shift_xy=(0.3333333333333333, 0.5); deleted_sorted_Li_indices=[97, 258]; selection=within_delta_maximally_separated_pairs"
gb_Sigma3_t3,01_structures/gb_Sigma3_t3/POSCAR,624,25.181979,14.538823,37.212697,Sigma3_[111]_(1-21),z,18.606348,10.000000,t3,0,0.000000,within_delta,,"source=Li6PS5Cl.cif; sigma=3; axis=[1, 1, 1]; plane=[1, -2, 1]; gb_gap_A=0.800; gb_c_repeats=1; shift_xy=(0.16666666666666666, 0.25)"
gb_Sigma3_t3_Li_vac_c1_s1,01_structures/gb_Sigma3_t3_Li_vac_c1_s1/POSCAR,623,25.181979,14.538823,37.212697,Sigma3_[111]_(1-21),z,18.606348,10.000000,t3,1,0.003472,within_delta,115,"source=Li6PS5Cl.cif; sigma=3; axis=[1, 1, 1]; plane=[1, -2, 1]; gb_gap_A=0.800; gb_c_repeats=1; shift_xy=(0.16666666666666666, 0.25); deleted_sorted_Li_indices=[115]; selection=within_delta_maximally_separated_pairs"
gb_Sigma3_t3_Li_vac_c1_s2,01_structures/gb_Sigma3_t3_Li_vac_c1_s2/POSCAR,623,25.181979,14.538823,37.212697,Sigma3_[111]_(1-21),z,18.606348,10.000000,t3,1,0.003472,within_delta,241,"source=Li6PS5Cl.cif; sigma=3; axis=[1, 1, 1]; plane=[1, -2, 1]; gb_gap_A=0.800; gb_c_repeats=1; shift_xy=(0.16666666666666666, 0.25); deleted_sorted_Li_indices=[241]; selection=within_delta_maximally_separated_pairs"
gb_Sigma3_t3_Li_vac_c2_s1,01_structures/gb_Sigma3_t3_Li_vac_c2_s1/POSCAR,622,25.181979,14.538823,37.212697,Sigma3_[111]_(1-21),z,18.606348,10.000000,t3,2,0.006944,within_delta,"115,241","source=Li6PS5Cl.cif; sigma=3; axis=[1, 1, 1]; plane=[1, -2, 1]; gb_gap_A=0.800; gb_c_repeats=1; shift_xy=(0.16666666666666666, 0.25); deleted_sorted_Li_indices=[115, 241]; selection=within_delta_maximally_separated_pairs"
gb_Sigma3_t3_Li_vac_c2_s2,01_structures/gb_Sigma3_t3_Li_vac_c2_s2/POSCAR,622,25.181979,14.538823,37.212697,Sigma3_[111]_(1-21),z,18.606348,10.000000,t3,2,0.006944,within_delta,"114,228","source=Li6PS5Cl.cif; sigma=3; axis=[1, 1, 1]; plane=[1, -2, 1]; gb_gap_A=0.800; gb_c_repeats=1; shift_xy=(0.16666666666666666, 0.25); deleted_sorted_Li_indices=[114, 228]; selection=within_delta_maximally_separated_pairs"
