structure_id,stage_order,stage_name,run_type,path,restart_from,enabled
gb_Sigma3_t1,0,00_uma_relax,UMA_OPT,gb_Sigma3_t1/00_uma_relax,,1
gb_Sigma3_t1,1,01_cp2k_singlepoint,ENERGY_FORCE,gb_Sigma3_t1/01_cp2k_singlepoint,../00_uma_relax/CONTCAR,1
gb_Sigma3_t1,2,02_uma_md_nvt,UMA_MD,gb_Sigma3_t1/02_uma_md_nvt,../00_uma_relax/CONTCAR,0
gb_Sigma3_t1_Li_vac_c1_s1,0,00_uma_relax,UMA_OPT,gb_Sigma3_t1_Li_vac_c1_s1/00_uma_relax,,1
gb_Sigma3_t1_Li_vac_c1_s1,1,01_cp2k_singlepoint,ENERGY_FORCE,gb_Sigma3_t1_Li_vac_c1_s1/01_cp2k_singlepoint,../00_uma_relax/CONTCAR,1
gb_Sigma3_t1_Li_vac_c1_s1,2,02_uma_md_nvt,UMA_MD,gb_Sigma3_t1_Li_vac_c1_s1/02_uma_md_nvt,../00_uma_relax/CONTCAR,0
gb_Sigma3_t1_Li_vac_c1_s2,0,00_uma_relax,UMA_OPT,gb_Sigma3_t1_Li_vac_c1_s2/00_uma_relax,,1
gb_Sigma3_t1_Li_vac_c1_s2,1,01_cp2k_singlepoint,ENERGY_FORCE,gb_Sigma3_t1_Li_vac_c1_s2/01_cp2k_singlepoint,../00_uma_relax/CONTCAR,1
gb_Sigma3_t1_Li_vac_c1_s2,2,02_uma_md_nvt,UMA_MD,gb_Sigma3_t1_Li_vac_c1_s2/02_uma_md_nvt,../00_uma_relax/CONTCAR,0
gb_Sigma3_t1_Li_vac_c2_s1,0,00_uma_relax,UMA_OPT,gb_Sigma3_t1_Li_vac_c2_s1/00_uma_relax,,1
gb_Sigma3_t1_Li_vac_c2_s1,1,01_cp2k_singlepoint,ENERGY_FORCE,gb_Sigma3_t1_Li_vac_c2_s1/01_cp2k_singlepoint,../00_uma_relax/CONTCAR,1
gb_Sigma3_t1_Li_vac_c2_s1,2,02_uma_md_nvt,UMA_MD,gb_Sigma3_t1_Li_vac_c2_s1/02_uma_md_nvt,../00_uma_relax/CONTCAR,0
gb_Sigma3_t1_Li_vac_c2_s2,0,00_uma_relax,UMA_OPT,gb_Sigma3_t1_Li_vac_c2_s2/00_uma_relax,,1
gb_Sigma3_t1_Li_vac_c2_s2,1,01_cp2k_singlepoint,ENERGY_FORCE,gb_Sigma3_t1_Li_vac_c2_s2/01_cp2k_singlepoint,../00_uma_relax/CONTCAR,1
gb_Sigma3_t1_Li_vac_c2_s2,2,02_uma_md_nvt,UMA_MD,gb_Sigma3_t1_Li_vac_c2_s2/02_uma_md_nvt,../00_uma_relax/CONTCAR,0
gb_Sigma3_t2,0,00_uma_relax,UMA_OPT,gb_Sigma3_t2/00_uma_relax,,1
gb_Sigma3_t2,1,01_cp2k_singlepoint,ENERGY_FORCE,gb_Sigma3_t2/01_cp2k_singlepoint,../00_uma_relax/CONTCAR,1
gb_Sigma3_t2,2,02_uma_md_nvt,UMA_MD,gb_Sigma3_t2/02_uma_md_nvt,../00_uma_relax/CONTCAR,0
gb_Sigma3_t2_Li_vac_c1_s1,0,00_uma_relax,UMA_OPT,gb_Sigma3_t2_Li_vac_c1_s1/00_uma_relax,,1
gb_Sigma3_t2_Li_vac_c1_s1,1,01_cp2k_singlepoint,ENERGY_FORCE,gb_Sigma3_t2_Li_vac_c1_s1/01_cp2k_singlepoint,../00_uma_relax/CONTCAR,1
gb_Sigma3_t2_Li_vac_c1_s1,2,02_uma_md_nvt,UMA_MD,gb_Sigma3_t2_Li_vac_c1_s1/02_uma_md_nvt,../00_uma_relax/CONTCAR,0
gb_Sigma3_t2_Li_vac_c1_s2,0,00_uma_relax,UMA_OPT,gb_Sigma3_t2_Li_vac_c1_s2/00_uma_relax,,1
gb_Sigma3_t2_Li_vac_c1_s2,1,01_cp2k_singlepoint,ENERGY_FORCE,gb_Sigma3_t2_Li_vac_c1_s2/01_cp2k_singlepoint,../00_uma_relax/CONTCAR,1
gb_Sigma3_t2_Li_vac_c1_s2,2,02_uma_md_nvt,UMA_MD,gb_Sigma3_t2_Li_vac_c1_s2/02_uma_md_nvt,../00_uma_relax/CONTCAR,0
gb_Sigma3_t2_Li_vac_c2_s1,0,00_uma_relax,UMA_OPT,gb_Sigma3_t2_Li_vac_c2_s1/00_uma_relax,,1
gb_Sigma3_t2_Li_vac_c2_s1,1,01_cp2k_singlepoint,ENERGY_FORCE,gb_Sigma3_t2_Li_vac_c2_s1/01_cp2k_singlepoint,../00_uma_relax/CONTCAR,1
gb_Sigma3_t2_Li_vac_c2_s1,2,02_uma_md_nvt,UMA_MD,gb_Sigma3_t2_Li_vac_c2_s1/02_uma_md_nvt,../00_uma_relax/CONTCAR,0
gb_Sigma3_t2_Li_vac_c2_s2,0,00_uma_relax,UMA_OPT,gb_Sigma3_t2_Li_vac_c2_s2/00_uma_relax,,1
gb_Sigma3_t2_Li_vac_c2_s2,1,01_cp2k_singlepoint,ENERGY_FORCE,gb_Sigma3_t2_Li_vac_c2_s2/01_cp2k_singlepoint,../00_uma_relax/CONTCAR,1
gb_Sigma3_t2_Li_vac_c2_s2,2,02_uma_md_nvt,UMA_MD,gb_Sigma3_t2_Li_vac_c2_s2/02_uma_md_nvt,../00_uma_relax/CONTCAR,0
gb_Sigma3_t3,0,00_uma_relax,UMA_OPT,gb_Sigma3_t3/00_uma_relax,,1
gb_Sigma3_t3,1,01_cp2k_singlepoint,ENERGY_FORCE,gb_Sigma3_t3/01_cp2k_singlepoint,../00_uma_relax/CONTCAR,1
gb_Sigma3_t3,2,02_uma_md_nvt,UMA_MD,gb_Sigma3_t3/02_uma_md_nvt,../00_uma_relax/CONTCAR,0
gb_Sigma3_t3_Li_vac_c1_s1,0,00_uma_relax,UMA_OPT,gb_Sigma3_t3_Li_vac_c1_s1/00_uma_relax,,1
gb_Sigma3_t3_Li_vac_c1_s1,1,01_cp2k_singlepoint,ENERGY_FORCE,gb_Sigma3_t3_Li_vac_c1_s1/01_cp2k_singlepoint,../00_uma_relax/CONTCAR,1
gb_Sigma3_t3_Li_vac_c1_s1,2,02_uma_md_nvt,UMA_MD,gb_Sigma3_t3_Li_vac_c1_s1/02_uma_md_nvt,../00_uma_relax/CONTCAR,0
gb_Sigma3_t3_Li_vac_c1_s2,0,00_uma_relax,UMA_OPT,gb_Sigma3_t3_Li_vac_c1_s2/00_uma_relax,,1
gb_Sigma3_t3_Li_vac_c1_s2,1,01_cp2k_singlepoint,ENERGY_FORCE,gb_Sigma3_t3_Li_vac_c1_s2/01_cp2k_singlepoint,../00_uma_relax/CONTCAR,1
gb_Sigma3_t3_Li_vac_c1_s2,2,02_uma_md_nvt,UMA_MD,gb_Sigma3_t3_Li_vac_c1_s2/02_uma_md_nvt,../00_uma_relax/CONTCAR,0
gb_Sigma3_t3_Li_vac_c2_s1,0,00_uma_relax,UMA_OPT,gb_Sigma3_t3_Li_vac_c2_s1/00_uma_relax,,1
gb_Sigma3_t3_Li_vac_c2_s1,1,01_cp2k_singlepoint,ENERGY_FORCE,gb_Sigma3_t3_Li_vac_c2_s1/01_cp2k_singlepoint,../00_uma_relax/CONTCAR,1
gb_Sigma3_t3_Li_vac_c2_s1,2,02_uma_md_nvt,UMA_MD,gb_Sigma3_t3_Li_vac_c2_s1/02_uma_md_nvt,../00_uma_relax/CONTCAR,0
gb_Sigma3_t3_Li_vac_c2_s2,0,00_uma_relax,UMA_OPT,gb_Sigma3_t3_Li_vac_c2_s2/00_uma_relax,,1
gb_Sigma3_t3_Li_vac_c2_s2,1,01_cp2k_singlepoint,ENERGY_FORCE,gb_Sigma3_t3_Li_vac_c2_s2/01_cp2k_singlepoint,../00_uma_relax/CONTCAR,1
gb_Sigma3_t3_Li_vac_c2_s2,2,02_uma_md_nvt,UMA_MD,gb_Sigma3_t3_Li_vac_c2_s2/02_uma_md_nvt,../00_uma_relax/CONTCAR,0
