structure_id,stage_order,stage_name,path,run_type,enabled
gb_Sigma3_t1_Li_vac_c1_s1,1,00_uma_relax,gb_Sigma3_t1_Li_vac_c1_s1/00_uma_relax,UMA_OPT,1
gb_Sigma3_t1_Li_vac_c1_s1,2,01_cp2k_singlepoint,gb_Sigma3_t1_Li_vac_c1_s1/01_cp2k_singlepoint,ENERGY_FORCE,1
gb_Sigma3_t1_Li_vac_c1_s1,3,02_uma_md_nvt,gb_Sigma3_t1_Li_vac_c1_s1/02_uma_md_nvt,UMA_MD,0
gb_Sigma3_t1_Li_vac_c1_s2,1,00_uma_relax,gb_Sigma3_t1_Li_vac_c1_s2/00_uma_relax,UMA_OPT,1
gb_Sigma3_t1_Li_vac_c1_s2,2,01_cp2k_singlepoint,gb_Sigma3_t1_Li_vac_c1_s2/01_cp2k_singlepoint,ENERGY_FORCE,1
gb_Sigma3_t1_Li_vac_c1_s2,3,02_uma_md_nvt,gb_Sigma3_t1_Li_vac_c1_s2/02_uma_md_nvt,UMA_MD,0
gb_Sigma3_t1_Li_vac_c2_s1,1,00_uma_relax,gb_Sigma3_t1_Li_vac_c2_s1/00_uma_relax,UMA_OPT,1
gb_Sigma3_t1_Li_vac_c2_s1,2,01_cp2k_singlepoint,gb_Sigma3_t1_Li_vac_c2_s1/01_cp2k_singlepoint,ENERGY_FORCE,1
gb_Sigma3_t1_Li_vac_c2_s1,3,02_uma_md_nvt,gb_Sigma3_t1_Li_vac_c2_s1/02_uma_md_nvt,UMA_MD,0
gb_Sigma3_t1_Li_vac_c2_s2,1,00_uma_relax,gb_Sigma3_t1_Li_vac_c2_s2/00_uma_relax,UMA_OPT,1
gb_Sigma3_t1_Li_vac_c2_s2,2,01_cp2k_singlepoint,gb_Sigma3_t1_Li_vac_c2_s2/01_cp2k_singlepoint,ENERGY_FORCE,1
gb_Sigma3_t1_Li_vac_c2_s2,3,02_uma_md_nvt,gb_Sigma3_t1_Li_vac_c2_s2/02_uma_md_nvt,UMA_MD,0
gb_Sigma3_t2_Li_vac_c1_s1,1,00_uma_relax,gb_Sigma3_t2_Li_vac_c1_s1/00_uma_relax,UMA_OPT,1
gb_Sigma3_t2_Li_vac_c1_s1,2,01_cp2k_singlepoint,gb_Sigma3_t2_Li_vac_c1_s1/01_cp2k_singlepoint,ENERGY_FORCE,1
gb_Sigma3_t2_Li_vac_c1_s1,3,02_uma_md_nvt,gb_Sigma3_t2_Li_vac_c1_s1/02_uma_md_nvt,UMA_MD,0
gb_Sigma3_t2_Li_vac_c1_s2,1,00_uma_relax,gb_Sigma3_t2_Li_vac_c1_s2/00_uma_relax,UMA_OPT,1
gb_Sigma3_t2_Li_vac_c1_s2,2,01_cp2k_singlepoint,gb_Sigma3_t2_Li_vac_c1_s2/01_cp2k_singlepoint,ENERGY_FORCE,1
gb_Sigma3_t2_Li_vac_c1_s2,3,02_uma_md_nvt,gb_Sigma3_t2_Li_vac_c1_s2/02_uma_md_nvt,UMA_MD,0
gb_Sigma3_t2_Li_vac_c2_s1,1,00_uma_relax,gb_Sigma3_t2_Li_vac_c2_s1/00_uma_relax,UMA_OPT,1
gb_Sigma3_t2_Li_vac_c2_s1,2,01_cp2k_singlepoint,gb_Sigma3_t2_Li_vac_c2_s1/01_cp2k_singlepoint,ENERGY_FORCE,1
gb_Sigma3_t2_Li_vac_c2_s1,3,02_uma_md_nvt,gb_Sigma3_t2_Li_vac_c2_s1/02_uma_md_nvt,UMA_MD,0
gb_Sigma3_t2_Li_vac_c2_s2,1,00_uma_relax,gb_Sigma3_t2_Li_vac_c2_s2/00_uma_relax,UMA_OPT,1
gb_Sigma3_t2_Li_vac_c2_s2,2,01_cp2k_singlepoint,gb_Sigma3_t2_Li_vac_c2_s2/01_cp2k_singlepoint,ENERGY_FORCE,1
gb_Sigma3_t2_Li_vac_c2_s2,3,02_uma_md_nvt,gb_Sigma3_t2_Li_vac_c2_s2/02_uma_md_nvt,UMA_MD,0
gb_Sigma3_t3_Li_vac_c1_s1,1,00_uma_relax,gb_Sigma3_t3_Li_vac_c1_s1/00_uma_relax,UMA_OPT,1
gb_Sigma3_t3_Li_vac_c1_s1,2,01_cp2k_singlepoint,gb_Sigma3_t3_Li_vac_c1_s1/01_cp2k_singlepoint,ENERGY_FORCE,1
gb_Sigma3_t3_Li_vac_c1_s1,3,02_uma_md_nvt,gb_Sigma3_t3_Li_vac_c1_s1/02_uma_md_nvt,UMA_MD,0
gb_Sigma3_t3_Li_vac_c1_s2,1,00_uma_relax,gb_Sigma3_t3_Li_vac_c1_s2/00_uma_relax,UMA_OPT,1
gb_Sigma3_t3_Li_vac_c1_s2,2,01_cp2k_singlepoint,gb_Sigma3_t3_Li_vac_c1_s2/01_cp2k_singlepoint,ENERGY_FORCE,1
gb_Sigma3_t3_Li_vac_c1_s2,3,02_uma_md_nvt,gb_Sigma3_t3_Li_vac_c1_s2/02_uma_md_nvt,UMA_MD,0
gb_Sigma3_t3_Li_vac_c2_s1,1,00_uma_relax,gb_Sigma3_t3_Li_vac_c2_s1/00_uma_relax,UMA_OPT,1
gb_Sigma3_t3_Li_vac_c2_s1,2,01_cp2k_singlepoint,gb_Sigma3_t3_Li_vac_c2_s1/01_cp2k_singlepoint,ENERGY_FORCE,1
gb_Sigma3_t3_Li_vac_c2_s1,3,02_uma_md_nvt,gb_Sigma3_t3_Li_vac_c2_s1/02_uma_md_nvt,UMA_MD,0
gb_Sigma3_t3_Li_vac_c2_s2,1,00_uma_relax,gb_Sigma3_t3_Li_vac_c2_s2/00_uma_relax,UMA_OPT,1
gb_Sigma3_t3_Li_vac_c2_s2,2,01_cp2k_singlepoint,gb_Sigma3_t3_Li_vac_c2_s2/01_cp2k_singlepoint,ENERGY_FORCE,1
gb_Sigma3_t3_Li_vac_c2_s2,3,02_uma_md_nvt,gb_Sigma3_t3_Li_vac_c2_s2/02_uma_md_nvt,UMA_MD,0
