structure_id,source_path,formula,structure_class,is_bulk,is_gb,translation_state,translation_index,li_vac_region,vacancy_count,has_vacancy,natoms,li_count,p_count,s_count,cl_count,lattice_a_A,lattice_b_A,lattice_c_A,volume_ang3,mass_density_g_cm3,li_fraction,li_number_density_per_A3,gb_delta_A,gb_z0_A,min_pair_distance_A,min_pair_label,li_s_nn_mean_A,li_s_nn_std_A,li_s_nn_min_A,li_s_nn_max_A,li_cl_nn_mean_A,li_cl_nn_std_A,li_cl_nn_min_A,li_cl_nn_max_A,li_li_nn_mean_A,li_li_nn_std_A,li_li_nn_min_A,li_li_nn_max_A,p_s_nn_mean_A,p_s_nn_std_A,p_s_nn_min_A,p_s_nn_max_A,li_s_coord_3p0_mean,li_s_coord_3p0_std,li_cl_coord_3p5_mean,li_cl_coord_3p5_std
bulk_ordered,D:\毕业设计\LPSCl_UMA_transport_project\01_structures\bulk_ordered\POSCAR,Li192P32S160Cl32,bulk,1,0,NA,0,bulk,0,0,416,192,32,160,32,20.561,20.561,20.561,8692.259818480996,1.6405529344678098,0.46153846153846156,0.022088617230674623,nan,nan,2.057676327677974,P-S,2.3322500362687495,0.00043300587849799595,2.332000040209997,2.3330001272500027,3.6423268869907073,0.00012026783270353998,3.64224777063285,3.643018708622382,3.2981228771745243,0.00030621420933184647,3.29794608431958,3.2986533284490447,2.0580373042401794,0.00027961124275704025,2.057676327677974,2.058253890177504,3.0,0.0,0.0,0.0
bulk_Li_vac_c1_s1,D:\毕业设计\LPSCl_UMA_transport_project\01_structures\bulk_Li_vac_c1_s1\POSCAR,Li191P32S160Cl32,bulk,1,0,NA,0,bulk,1,1,415,191,32,160,32,20.561,20.561,20.561,8692.259818480996,1.639227141018598,0.4602409638554217,0.02197357234926486,nan,nan,2.057676327677974,P-S,2.3322461101673286,0.0004307159098233628,2.332000040209997,2.3330001272500027,3.6423269597177788,0.00012057804792365485,3.64224777063285,3.643018708622382,3.298120100704079,0.0003045947834741149,3.29794608431958,3.2986533284490447,2.0580373042401794,0.00027961124275704025,2.057676327677974,2.058253890177504,3.0,0.0,0.0,0.0
bulk_Li_vac_c1_s2,D:\毕业设计\LPSCl_UMA_transport_project\01_structures\bulk_Li_vac_c1_s2\POSCAR,Li191P32S160Cl32,bulk,1,0,NA,0,bulk,1,1,415,191,32,160,32,20.561,20.561,20.561,8692.259818480996,1.639227141018598,0.4602409638554217,0.02197357234926486,nan,nan,2.057676327677974,P-S,2.332251345148638,0.0004337589276178867,2.332000040209997,2.3330001272500027,3.64232695978812,0.00012057803977380447,3.64224777063285,3.643018708622382,3.2981238027915665,0.0003067467525426421,3.29794608431958,3.2986533284490447,2.0580373042401794,0.00027961124275704025,2.057676327677974,2.058253890177504,3.0,0.0,0.0,0.0
bulk_Li_vac_c2_s1,D:\毕业设计\LPSCl_UMA_transport_project\01_structures\bulk_Li_vac_c2_s1\POSCAR,Li190P32S160Cl32,bulk,1,0,NA,0,bulk,2,1,414,190,32,160,32,20.561,20.561,20.561,8692.259818480996,1.6379013475693867,0.45893719806763283,0.021858527467855098,nan,nan,2.057676327677974,P-S,2.3322474052723674,0.0004314768038522012,2.332000040209997,2.3330001272500027,3.6423270332811097,0.00012089066725983002,3.64224777063285,3.643018708622382,3.298121016579787,0.000305132874467896,3.29794608431958,3.2986533284490447,2.0580373042401794,0.00027961124275704025,2.057676327677974,2.058253890177504,3.0,0.0,0.0,0.0
bulk_Li_vac_c2_s2,D:\毕业设计\LPSCl_UMA_transport_project\01_structures\bulk_Li_vac_c2_s2\POSCAR,Li190P32S160Cl32,bulk,1,0,NA,0,bulk,2,1,414,190,32,160,32,20.561,20.561,20.561,8692.259818480996,1.6379013475693867,0.45893719806763283,0.021858527467855098,nan,nan,2.057676327677974,P-S,2.3322474052723674,0.00043147680385219317,2.332000040209997,2.3330001272500027,3.6423270332811097,0.00012089066725983138,3.64224777063285,3.643018708622382,3.298121016579787,0.00030513287446792977,3.29794608431958,3.2986533284490447,2.0580373042401794,0.00027961124275704025,2.057676327677974,2.058253890177504,3.0,0.0,0.0,0.0
gb_Sigma3_t1,D:\毕业设计\LPSCl_UMA_transport_project\01_structures\gb_Sigma3_t1\POSCAR,Li288P48S240Cl48,gb,0,1,t1,1,within_delta,0,0,624,288,48,240,48,25.181979300682464,14.538822527976606,37.212696654423695,13624.175852450795,1.570015592884513,0.46153846153846156,0.02113889332602771,10.0,18.606348,2.05897547885192,P-S,2.332124999687501,3.775755901347337e-15,2.332124999687487,2.332124999687513,3.6424894003138473,3.1606168753004742e-15,3.6424894003138406,3.6424894003138646,3.145375992371202,0.34155225349409646,2.3816419356901535,3.2981228037074155,2.0589754788519263,2.0511601988091347e-15,2.05897547885192,2.058975478851931,2.6666666666666665,0.7453559924999299,0.0,0.0
gb_Sigma3_t1_Li_vac_c1_s1,D:\毕业设计\LPSCl_UMA_transport_project\01_structures\gb_Sigma3_t1_Li_vac_c1_s1\POSCAR,Li287P48S240Cl48,gb,0,1,t1,1,within_delta,1,1,623,287,48,240,48,25.181979300682464,14.538822527976606,37.212696654423695,13624.175852450795,1.5691697331972196,0.4606741573033708,0.02106549439086789,10.0,18.606348,2.05897547885192,P-S,2.3321249996875006,3.75662439411175e-15,2.332124999687487,2.332124999687513,3.642489400313848,3.0752882415763384e-15,3.6424894003138406,3.6424894003138646,3.144843773516372,0.34202753915733053,2.3816419356901535,3.2981228037074155,2.0589754788519263,2.0511601988091347e-15,2.05897547885192,2.058975478851931,2.6655052264808363,0.7463931896304326,0.0,0.0
gb_Sigma3_t1_Li_vac_c1_s2,D:\毕业设计\LPSCl_UMA_transport_project\01_structures\gb_Sigma3_t1_Li_vac_c1_s2\POSCAR,Li287P48S240Cl48,gb,0,1,t1,1,within_delta,1,1,623,287,48,240,48,25.181979300682464,14.538822527976606,37.212696654423695,13624.175852450795,1.5691697331972196,0.4606741573033708,0.02106549439086789,10.0,18.606348,2.05897547885192,P-S,2.3321249996875006,3.730098831129772e-15,2.332124999687487,2.332124999687513,3.642489400313848,3.06723363504226e-15,3.6424894003138406,3.6424894003138646,3.144843773516372,0.34202753915733053,2.3816419356901535,3.2981228037074155,2.0589754788519263,2.0511601988091347e-15,2.05897547885192,2.058975478851931,2.6655052264808363,0.7463931896304326,0.0,0.0
gb_Sigma3_t1_Li_vac_c2_s1,D:\毕业设计\LPSCl_UMA_transport_project\01_structures\gb_Sigma3_t1_Li_vac_c2_s1\POSCAR,Li286P48S240Cl48,gb,0,1,t1,1,within_delta,2,1,622,286,48,240,48,25.181979300682464,14.538822527976606,37.212696654423695,13624.175852450795,1.568323873509926,0.45980707395498394,0.020992095455708074,10.0,18.606348,2.05897547885192,P-S,2.3321249996875006,3.736614292568774e-15,2.332124999687487,2.332124999687513,3.6424894003138486,3.1194748491268076e-15,3.6424894003138406,3.6424894003138646,3.1443078328513687,0.3425046463111818,2.3816419356901535,3.2981228037074155,2.0589754788519263,2.0511601988091347e-15,2.05897547885192,2.058975478851931,2.664335664335664,0.7474343617279656,0.0,0.0
gb_Sigma3_t1_Li_vac_c2_s2,D:\毕业设计\LPSCl_UMA_transport_project\01_structures\gb_Sigma3_t1_Li_vac_c2_s2\POSCAR,Li286P48S240Cl48,gb,0,1,t1,1,within_delta,2,1,622,286,48,240,48,25.181979300682464,14.538822527976606,37.212696654423695,13624.175852450795,1.568323873509926,0.45980707395498394,0.020992095455708074,10.0,18.606348,2.05897547885192,P-S,2.3321249996875006,3.725432748057612e-15,2.332124999687487,2.332124999687513,3.6424894003138486,3.1320494247960844e-15,3.6424894003138406,3.6424894003138646,3.1443078328513687,0.34250464631118177,2.3816419356901535,3.298122803707418,2.0589754788519263,2.0511601988091347e-15,2.05897547885192,2.058975478851931,2.664335664335664,0.7474343617279656,0.0,0.0
