structure_id,run_name,label_tier,target_temperature_K,reported_temperature_K,target_md_steps,reported_md_steps,trajectory_time_ps,li_diffusion_last_half_cm2_per_s,log10_li_diffusion_last_half_cm2_per_s,li_msd_last_A2,li_rmsd_last_A,frames_saved,save_interval_steps,energy_per_atom_eV,fmax_eV_per_A,fmean_eV_per_A,frms_eV_per_A,run_min_pair_distance_A,run_min_pair_label,model_path,device
bulk_Li_vac_c1_s1,md_600K_1000steps,screening,600,451.403837933221,1000,1000,1.0,2.528449074453878e-05,-4.5971457890776675,1.4088645795061463,1.1869560141412765,51,20,-4.1022890024804335,2.822493314743042,0.7255035638809204,0.8692029118537903,1.9314167782251164,P-S,/root/models/uma-s-1p2.pt,cuda
bulk_Li_vac_c1_s1,md_700K_1000steps,screening,700,566.7851105043547,1000,1000,1.0,1.5181028819486334e-05,-4.818698795272867,1.4118449142714038,1.1882108038018353,51,20,-4.094980944746718,3.628375291824341,0.7642825245857239,0.9513809084892273,1.9237486122876541,P-S,/root/models/uma-s-1p2.pt,cuda
bulk_ordered,md_600K_20steps,pilot,600,333.3428877263927,20,20,0.02,6.293739532496077e-05,-4.201091234403474,0.05649592387956581,0.2376887121416703,21,1,-4.085012971746485,2.8705105781555176,0.7287982106208801,0.8527534604072571,1.9569638624072783,P-S,/root/models/uma-s-1p2.pt,cuda
bulk_ordered,md_600K_1000steps,screening,600,569.7701836957275,1000,1000,1.0,2.6017599580407203e-05,-4.584732774533566,2.042036132618224,1.4289982969262853,51,20,-4.097889662041637,3.162869691848755,0.7291039824485779,0.8727169632911682,1.9443128583423197,P-S,/root/models/uma-s-1p2.pt,cuda
bulk_ordered,md_600K_20000steps,formal,600,589.097399648162,20000,20000,20.0,5.362511161670425e-06,-5.270631790854431,10.262541189887068,3.203520124782591,201,100,-4.087404357327191,3.2936179637908936,0.801277220249176,0.9687192440032959,1.924027470438527,P-S,/root/models/uma-s-1p2.pt,cuda
bulk_ordered,md_700K_1000steps,screening,700,658.7457078334485,1000,1000,1.0,3.357459799872872e-05,-4.473989178599054,2.2158004573858663,1.4885565012406705,51,20,-4.080764403835243,3.1554667949676514,0.8055320382118225,0.9660964608192444,1.9409414555828246,P-S,/root/models/uma-s-1p2.pt,cuda
bulk_ordered,md_700K_20000steps,formal,700,712.5262843682361,20000,20000,20.0,8.284503384540898e-06,-5.081733520294468,14.2757240419241,3.7783229139294194,201,100,-4.079293588279837,3.7965545654296875,0.8375186324119568,1.0095868110656738,1.8965019921815254,P-S,/root/models/uma-s-1p2.pt,cuda
bulk_ordered,md_800K_20000steps,formal,800,831.297645229009,20000,20000,20.0,1.408559762561009e-05,-4.8512247219832405,21.93037150366023,4.682987454997101,201,100,-4.052561781178202,4.299776077270508,0.8752450346946716,1.0611486434936523,1.9096227293718608,P-S,/root/models/uma-s-1p2.pt,cuda
gb_Sigma3_t1,md_600K_1000steps,screening,600,629.6511272317224,1000,1000,1.0,5.4514583238192395e-05,-4.2634873037294,3.5142809669863078,1.8746415569346337,51,20,-3.991550217293536,4.6939802169799805,0.7947164177894592,0.967315673828125,1.8648095743990225,P-S,/root/models/uma-s-1p2.pt,cuda
gb_Sigma3_t1,md_700K_1000steps,screening,700,711.0059230916743,1000,1000,1.0,5.677682903981677e-05,-4.245828866282956,3.599562765545843,1.8972513712067367,51,20,-3.9847519288876034,4.445125102996826,0.8516760468482971,1.0301897525787354,1.8824313196772697,P-S,/root/models/uma-s-1p2.pt,cuda
gb_Sigma3_t1_Li_vac_c1_s1,md_600K_1000steps,screening,600,540.0061546755032,1000,1000,1.0,2.6514421133000316e-05,-4.5765178500271455,1.8828750266052132,1.3721789338877104,51,20,-3.9997379287354446,3.4956257343292236,0.7216266393661499,0.8754846453666687,1.8762352373107443,S-S,/root/models/uma-s-1p2.pt,cuda
gb_Sigma3_t1_Li_vac_c1_s1,md_700K_1000steps,screening,700,626.514758100814,1000,1000,1.0,2.7388228970304362e-05,-4.562436050012984,1.9741361259307273,1.4050395460380207,51,20,-3.989519789843474,5.06068754196167,0.7867810130119324,0.9606836438179016,1.8715439536310816,P-S,/root/models/uma-s-1p2.pt,cuda
gb_Sigma3_t2_Li_vac_c1_s2,md_600K_1000steps,screening,600,550.9924780106221,1000,1000,1.0,3.260285320551133e-05,-4.48674439142939,2.1116222009879655,1.4531421819587942,51,20,-3.996221876529351,3.744311571121216,0.7314189672470093,0.8907834887504578,1.901329582778843,P-S,/root/models/uma-s-1p2.pt,cuda
gb_Sigma3_t2_Li_vac_c1_s2,md_700K_1000steps,screening,700,671.6353395663028,1000,1000,1.0,3.5859090269117176e-05,-4.445400732512654,2.491285688045211,1.578380717078491,51,20,-3.9870256952937013,3.6107985973358154,0.8063274025917053,0.9883407354354858,1.871181747057363,P-S,/root/models/uma-s-1p2.pt,cuda
gb_Sigma3_t3,md_600K_20steps,pilot,600,297.1220916406132,20,20,0.02,5.7490347797239386e-05,-4.240405064010748,0.05274692386265591,0.2296669847031913,21,1,-4.029719795366271,3.4185001850128174,0.7282194495201111,0.8812986016273499,1.9160216917440867,S-S,/root/models/uma-s-1p2.pt,cuda
gb_Sigma3_t3,md_600K_200steps,pilot,600,387.15726246423975,200,200,0.2,2.9631060531467257e-05,-4.528252804317397,0.42184091563622655,0.6494928141528793,11,20,-4.031131203905306,3.4098398685455322,0.6126924753189087,0.7412195205688477,1.9167812684592016,S-S,/root/models/uma-s-1p2.pt,cuda
gb_Sigma3_t3,md_600K_1000steps,screening,600,506.76621149680676,1000,1000,1.0,2.1635359231215e-05,-4.664835889425775,1.5452564201860066,1.2430834325120768,51,20,-4.018064230119972,3.3535640239715576,0.7109037637710571,0.8652103543281555,1.8819601756850772,S-S,/root/models/uma-s-1p2.pt,cuda
gb_Sigma3_t3,md_600K_20000steps,formal,600,632.1157858172332,20000,20000,20.0,1.1018556729907985e-05,-4.957875287996591,19.127592632211627,4.37351033292613,201,100,-4.029982383656262,3.927560567855835,0.8106593489646912,0.982744038105011,1.8776052505125023,S-S,/root/models/uma-s-1p2.pt,cuda
gb_Sigma3_t3,md_700K_1000steps,screening,700,597.7801714397103,1000,1000,1.0,3.281554023479308e-05,-4.483920441656691,2.068912074166404,1.438371326941136,51,20,-4.009701612938408,2.8556857109069824,0.7247103452682495,0.8549389243125916,1.9343670592789,P-S,/root/models/uma-s-1p2.pt,cuda
gb_Sigma3_t3,md_700K_20000steps,formal,700,717.0439049061656,20000,20000,20.0,1.9157546475480393e-05,-4.717660112188074,30.799025144117657,5.549686941091151,201,100,-4.023077208572326,4.043278694152832,0.8481095433235168,1.00076162815094,1.9278530979468527,P-S,/root/models/uma-s-1p2.pt,cuda
gb_Sigma3_t3,md_800K_20000steps,formal,800,806.1304902874579,20000,20000,20.0,2.4366934536974397e-05,-4.613199103454399,37.77930836455798,6.146487481851564,201,100,-4.003891093002886,3.8318045139312744,0.8887839913368225,1.0509189367294312,1.9054822450038018,P-S,/root/models/uma-s-1p2.pt,cuda
gb_Sigma3_t3_Li_vac_c1_s1,md_600K_1000steps,screening,600,505.77020691220054,1000,1000,1.0,1.7703913453842998e-05,-4.751930722138316,1.33657351826809,1.156102728250431,51,20,-4.019172416604284,3.626542091369629,0.7012202143669128,0.8466314077377319,1.9475536572139893,P-S,/root/models/uma-s-1p2.pt,cuda
gb_Sigma3_t3_Li_vac_c1_s1,md_600K_20000steps,formal,600,614.5024097306496,20000,20000,20.0,1.1398475416223907e-05,-4.943153233102075,18.118567242389485,4.256591035369675,201,100,-4.028466179785259,3.733269691467285,0.8042658567428589,0.986916184425354,1.8797838594809522,P-S,/root/models/uma-s-1p2.pt,cuda
gb_Sigma3_t3_Li_vac_c1_s1,md_700K_1000steps,screening,700,587.9533245974394,1000,1000,1.0,1.674393059681828e-05,-4.7761425848056165,1.5127559267363615,1.229941432238284,51,20,-4.010419587843027,3.8793344497680664,0.7733861804008484,0.9528935551643372,1.9177911628392899,P-S,/root/models/uma-s-1p2.pt,cuda
gb_Sigma3_t3_Li_vac_c1_s1,md_700K_20000steps,formal,700,693.9450592029095,20000,20000,20.0,1.7241305955543933e-05,-4.763429841306812,25.52172441215894,5.051903048570799,201,100,-4.014059871118679,3.4507012367248535,0.8496996164321899,1.0068011283874512,1.9412144355658176,P-S,/root/models/uma-s-1p2.pt,cuda
gb_Sigma3_t3_Li_vac_c1_s1,md_800K_20000steps,formal,800,812.3166034323672,20000,20000,20.0,2.178597325472438e-05,-4.661823033859286,34.774205262793345,5.896965767476808,201,100,-4.008917082124092,3.588252305984497,0.9300862550735474,1.1244102716445923,1.92361071370208,P-S,/root/models/uma-s-1p2.pt,cuda
