structure_id,temperature_K,run_name,li_count,nframes,trajectory_time_ps,d_tracer_cm2_s,d_tracer_err_cm2_s,log10_d_tracer,msd_last_A2
bulk_Li_vac_c1_s1,500,md_500K_20000steps,191,201,20.0,4.160413718867353e-06,2.395800517325561e-06,-5.380863480217677,9.212766624755133
bulk_Li_vac_c1_s1,600,md_600K_20000steps,191,201,20.0,6.661834304507746e-06,2.023592461894697e-06,-5.1764061734360265,12.318932839895169
bulk_Li_vac_c1_s1,700,md_700K_20000steps,191,201,20.0,1.5117100325912057e-06,2.1964369640097854e-06,-5.820531504683025,13.26164191740934
bulk_Li_vac_c1_s1,800,md_800K_20000steps,191,201,20.0,6.811442054599162e-06,2.736776045788046e-06,-5.166760933600333,15.383315876976177
bulk_Li_vac_c1_s1,900,md_900K_20000steps,191,201,20.0,1.7770951420163327e-05,3.1805740958306037e-06,-4.750289320339557,24.95926733588567
bulk_Li_vac_c1_s2,500,md_500K_20000steps,191,201,20.0,3.0794372787229016e-06,2.0336943851477695e-06,-5.5115286370947345,8.449358300499174
bulk_Li_vac_c1_s2,600,md_600K_20000steps,191,201,20.0,5.5299263546714505e-06,1.470689509868438e-06,-5.257280652415515,10.890927742932103
bulk_Li_vac_c1_s2,700,md_700K_20000steps,191,201,20.0,5.158018893638574e-06,2.1693866592882236e-06,-5.287517071390027,13.84959441454656
bulk_Li_vac_c1_s2,800,md_800K_20000steps,191,201,20.0,1.0232187324067544e-05,1.927899153801674e-06,-4.99003151768263,17.764254784754467
bulk_Li_vac_c1_s2,900,md_900K_20000steps,191,201,20.0,1.616386496342287e-05,2.153532575670123e-06,-4.7914547864083845,26.03786270517702
bulk_Li_vac_c2_s1,500,md_500K_20000steps,190,201,20.0,6.663726950570258e-06,2.0795541365534217e-06,-5.176282806662809,10.709838396839857
bulk_Li_vac_c2_s1,600,md_600K_20000steps,190,201,20.0,4.908769143246171e-06,1.3162762619619027e-06,-5.309027392054102,12.310371614828918
bulk_Li_vac_c2_s1,700,md_700K_20000steps,190,201,20.0,3.561495061090344e-06,6.239006173971321e-07,-5.4483676535776455,13.222581149575987
bulk_Li_vac_c2_s1,800,md_800K_20000steps,190,201,20.0,1.1385385741367676e-05,2.141935661689378e-06,-4.9436522507309215,22.194005167683216
bulk_Li_vac_c2_s1,900,md_900K_20000steps,190,201,20.0,2.103052419710425e-05,2.885909782185034e-06,-4.677149902155688,29.29838106190049
bulk_Li_vac_c2_s2,500,md_500K_20000steps,190,201,20.0,1.888383297306338e-06,2.309843262431835e-06,-5.723909849545469,8.946726955211656
bulk_Li_vac_c2_s2,600,md_600K_20000steps,190,201,20.0,4.21575915156813e-06,1.825661192653466e-06,-5.375124208548066,10.86620956604797
bulk_Li_vac_c2_s2,700,md_700K_20000steps,190,201,20.0,6.267269557255346e-06,1.0279311546301297e-06,-5.202921625754637,13.51701713821251
bulk_Li_vac_c2_s2,800,md_800K_20000steps,190,201,20.0,8.709878098649361e-06,1.5070814961024088e-06,-5.059987923230499,17.630121905673636
bulk_Li_vac_c2_s2,900,md_900K_20000steps,190,201,20.0,1.90401435519975e-05,4.3136750936501605e-06,-4.720329781602524,28.556412293481507
bulk_ordered,500,md_500K_20000steps,192,201,20.0,3.1964584267185257e-06,1.316789030643785e-06,-5.49533093964687,8.543398918757953
bulk_ordered,600,md_600K_20000steps,192,201,20.0,5.362511161670425e-06,1.0971562992145666e-06,-5.270631790854431,10.262541189887068
bulk_ordered,700,md_700K_20000steps,192,201,20.0,8.284503384540898e-06,2.2109773720619306e-06,-5.081733520294468,14.2757240419241
