structure_id,temperature_K,distance_bin_A,count
bulk_Li_vac_c1_s1,500,1.625,351
bulk_Li_vac_c1_s1,500,1.875,101
bulk_Li_vac_c1_s1,500,2.125,20
bulk_Li_vac_c1_s1,500,2.375,3
bulk_Li_vac_c1_s1,500,2.625,1
bulk_Li_vac_c1_s1,500,2.875,0
bulk_Li_vac_c1_s1,600,1.625,610
bulk_Li_vac_c1_s1,600,1.875,194
bulk_Li_vac_c1_s1,600,2.125,66
bulk_Li_vac_c1_s1,600,2.375,11
bulk_Li_vac_c1_s1,600,2.625,2
bulk_Li_vac_c1_s1,600,2.875,1
bulk_Li_vac_c1_s1,600,3.125,1
bulk_Li_vac_c1_s1,600,3.375,0
bulk_Li_vac_c1_s1,700,1.625,861
bulk_Li_vac_c1_s1,700,1.875,321
bulk_Li_vac_c1_s1,700,2.125,98
bulk_Li_vac_c1_s1,700,2.375,35
bulk_Li_vac_c1_s1,700,2.625,8
bulk_Li_vac_c1_s1,700,2.875,4
bulk_Li_vac_c1_s1,700,3.125,0
bulk_Li_vac_c1_s1,800,1.625,1243
bulk_Li_vac_c1_s1,800,1.875,566
bulk_Li_vac_c1_s1,800,2.125,232
bulk_Li_vac_c1_s1,800,2.375,70
bulk_Li_vac_c1_s1,800,2.625,29
bulk_Li_vac_c1_s1,800,2.875,5
bulk_Li_vac_c1_s1,800,3.125,4
bulk_Li_vac_c1_s1,800,3.375,0
bulk_Li_vac_c1_s1,900,1.625,1589
bulk_Li_vac_c1_s1,900,1.875,803
bulk_Li_vac_c1_s1,900,2.125,368
bulk_Li_vac_c1_s1,900,2.375,136
bulk_Li_vac_c1_s1,900,2.625,53
bulk_Li_vac_c1_s1,900,2.875,15
bulk_Li_vac_c1_s1,900,3.125,6
bulk_Li_vac_c1_s1,900,3.375,1
bulk_Li_vac_c1_s1,900,3.625,0
bulk_Li_vac_c1_s2,500,1.625,346
bulk_Li_vac_c1_s2,500,1.875,111
bulk_Li_vac_c1_s2,500,2.125,25
bulk_Li_vac_c1_s2,500,2.375,5
bulk_Li_vac_c1_s2,500,2.625,1
bulk_Li_vac_c1_s2,500,2.875,0
bulk_Li_vac_c1_s2,600,1.625,650
bulk_Li_vac_c1_s2,600,1.875,210
bulk_Li_vac_c1_s2,600,2.125,61
bulk_Li_vac_c1_s2,600,2.375,15
bulk_Li_vac_c1_s2,600,2.625,4
bulk_Li_vac_c1_s2,600,2.875,0
bulk_Li_vac_c1_s2,700,1.625,947
bulk_Li_vac_c1_s2,700,1.875,376
bulk_Li_vac_c1_s2,700,2.125,127
bulk_Li_vac_c1_s2,700,2.375,31
bulk_Li_vac_c1_s2,700,2.625,13
bulk_Li_vac_c1_s2,700,2.875,1
bulk_Li_vac_c1_s2,700,3.125,2
bulk_Li_vac_c1_s2,700,3.375,1
bulk_Li_vac_c1_s2,700,3.625,0
bulk_Li_vac_c1_s2,800,1.625,1231
bulk_Li_vac_c1_s2,800,1.875,563
bulk_Li_vac_c1_s2,800,2.125,232
bulk_Li_vac_c1_s2,800,2.375,89
bulk_Li_vac_c1_s2,800,2.625,27
bulk_Li_vac_c1_s2,800,2.875,7
bulk_Li_vac_c1_s2,800,3.125,1
bulk_Li_vac_c1_s2,800,3.375,0
bulk_Li_vac_c1_s2,900,1.625,1618
bulk_Li_vac_c1_s2,900,1.875,786
bulk_Li_vac_c1_s2,900,2.125,312
bulk_Li_vac_c1_s2,900,2.375,128
bulk_Li_vac_c1_s2,900,2.625,52
bulk_Li_vac_c1_s2,900,2.875,18
bulk_Li_vac_c1_s2,900,3.125,2
bulk_Li_vac_c1_s2,900,3.375,2
bulk_Li_vac_c1_s2,900,3.625,0
bulk_Li_vac_c2_s1,500,1.625,377
bulk_Li_vac_c2_s1,500,1.875,122
bulk_Li_vac_c2_s1,500,2.125,15
bulk_Li_vac_c2_s1,500,2.375,6
bulk_Li_vac_c2_s1,500,2.625,0
bulk_Li_vac_c2_s1,600,1.625,617
bulk_Li_vac_c2_s1,600,1.875,192
bulk_Li_vac_c2_s1,600,2.125,47
bulk_Li_vac_c2_s1,600,2.375,16
bulk_Li_vac_c2_s1,600,2.625,3
bulk_Li_vac_c2_s1,600,2.875,0
bulk_Li_vac_c2_s1,700,1.625,989
bulk_Li_vac_c2_s1,700,1.875,401
bulk_Li_vac_c2_s1,700,2.125,130
bulk_Li_vac_c2_s1,700,2.375,55
bulk_Li_vac_c2_s1,700,2.625,13
bulk_Li_vac_c2_s1,700,2.875,4
bulk_Li_vac_c2_s1,700,3.125,1
bulk_Li_vac_c2_s1,700,3.375,0
bulk_Li_vac_c2_s1,800,1.625,1355
bulk_Li_vac_c2_s1,800,1.875,582
bulk_Li_vac_c2_s1,800,2.125,230
bulk_Li_vac_c2_s1,800,2.375,73
bulk_Li_vac_c2_s1,800,2.625,23
bulk_Li_vac_c2_s1,800,2.875,6
bulk_Li_vac_c2_s1,800,3.125,1
bulk_Li_vac_c2_s1,800,3.375,0
bulk_Li_vac_c2_s1,900,1.625,1709
bulk_Li_vac_c2_s1,900,1.875,751
bulk_Li_vac_c2_s1,900,2.125,361
bulk_Li_vac_c2_s1,900,2.375,152
bulk_Li_vac_c2_s1,900,2.625,60
bulk_Li_vac_c2_s1,900,2.875,18
bulk_Li_vac_c2_s1,900,3.125,2
bulk_Li_vac_c2_s1,900,3.375,0
bulk_Li_vac_c2_s2,500,1.625,348
bulk_Li_vac_c2_s2,500,1.875,107
bulk_Li_vac_c2_s2,500,2.125,19
bulk_Li_vac_c2_s2,500,2.375,3
bulk_Li_vac_c2_s2,500,2.625,0
bulk_Li_vac_c2_s2,600,1.625,663
bulk_Li_vac_c2_s2,600,1.875,212
bulk_Li_vac_c2_s2,600,2.125,53
bulk_Li_vac_c2_s2,600,2.375,10
bulk_Li_vac_c2_s2,600,2.625,2
bulk_Li_vac_c2_s2,600,2.875,0
bulk_Li_vac_c2_s2,700,1.625,1030
bulk_Li_vac_c2_s2,700,1.875,372
bulk_Li_vac_c2_s2,700,2.125,145
bulk_Li_vac_c2_s2,700,2.375,39
bulk_Li_vac_c2_s2,700,2.625,15
bulk_Li_vac_c2_s2,700,2.875,2
bulk_Li_vac_c2_s2,700,3.125,0
bulk_Li_vac_c2_s2,800,1.625,1386
bulk_Li_vac_c2_s2,800,1.875,606
bulk_Li_vac_c2_s2,800,2.125,263
bulk_Li_vac_c2_s2,800,2.375,91
bulk_Li_vac_c2_s2,800,2.625,26
bulk_Li_vac_c2_s2,800,2.875,6
bulk_Li_vac_c2_s2,800,3.125,2
bulk_Li_vac_c2_s2,800,3.375,1
bulk_Li_vac_c2_s2,800,3.625,0
bulk_Li_vac_c2_s2,900,1.625,1613
bulk_Li_vac_c2_s2,900,1.875,802
bulk_Li_vac_c2_s2,900,2.125,337
bulk_Li_vac_c2_s2,900,2.375,144
bulk_Li_vac_c2_s2,900,2.625,63
bulk_Li_vac_c2_s2,900,2.875,16
bulk_Li_vac_c2_s2,900,3.125,5
bulk_Li_vac_c2_s2,900,3.375,1
bulk_Li_vac_c2_s2,900,3.625,0
bulk_ordered,500,1.625,358
bulk_ordered,500,1.875,90
bulk_ordered,500,2.125,18
bulk_ordered,500,2.375,3
bulk_ordered,500,2.625,1
bulk_ordered,500,2.875,0
bulk_ordered,600,1.625,647
bulk_ordered,600,1.875,210
bulk_ordered,600,2.125,52
bulk_ordered,600,2.375,14
bulk_ordered,600,2.625,0
bulk_ordered,600,2.875,1
bulk_ordered,600,3.125,0
bulk_ordered,700,1.625,902
bulk_ordered,700,1.875,342
bulk_ordered,700,2.125,115
bulk_ordered,700,2.375,31
