structure_id,pair,r_A,g_r
bulk_Li_vac_c1_s1,Li-S,0.025,0.000000
bulk_Li_vac_c1_s1,Li-S,0.075,0.000000
bulk_Li_vac_c1_s1,Li-S,0.125,0.000000
bulk_Li_vac_c1_s1,Li-S,0.175,0.000000
bulk_Li_vac_c1_s1,Li-S,0.225,0.000000
bulk_Li_vac_c1_s1,Li-S,0.275,0.000000
bulk_Li_vac_c1_s1,Li-S,0.325,0.000000
bulk_Li_vac_c1_s1,Li-S,0.375,0.000000
bulk_Li_vac_c1_s1,Li-S,0.425,0.000000
bulk_Li_vac_c1_s1,Li-S,0.475,0.000000
bulk_Li_vac_c1_s1,Li-S,0.525,0.000000
bulk_Li_vac_c1_s1,Li-S,0.575,0.000000
bulk_Li_vac_c1_s1,Li-S,0.625,0.000000
bulk_Li_vac_c1_s1,Li-S,0.675,0.000000
bulk_Li_vac_c1_s1,Li-S,0.725,0.000000
bulk_Li_vac_c1_s1,Li-S,0.775,0.000000
bulk_Li_vac_c1_s1,Li-S,0.825,0.000000
bulk_Li_vac_c1_s1,Li-S,0.875,0.000000
bulk_Li_vac_c1_s1,Li-S,0.925,0.000000
bulk_Li_vac_c1_s1,Li-S,0.975,0.000000
bulk_Li_vac_c1_s1,Li-S,1.025,0.000000
bulk_Li_vac_c1_s1,Li-S,1.075,0.000000
bulk_Li_vac_c1_s1,Li-S,1.125,0.000000
bulk_Li_vac_c1_s1,Li-S,1.175,0.000000
bulk_Li_vac_c1_s1,Li-S,1.225,0.000000
bulk_Li_vac_c1_s1,Li-S,1.275,0.000000
bulk_Li_vac_c1_s1,Li-S,1.325,0.000000
bulk_Li_vac_c1_s1,Li-S,1.375,0.000000
bulk_Li_vac_c1_s1,Li-S,1.425,0.000000
bulk_Li_vac_c1_s1,Li-S,1.475,0.000000
bulk_Li_vac_c1_s1,Li-S,1.525,0.000000
bulk_Li_vac_c1_s1,Li-S,1.575,0.000000
bulk_Li_vac_c1_s1,Li-S,1.625,0.000000
bulk_Li_vac_c1_s1,Li-S,1.675,0.000000
bulk_Li_vac_c1_s1,Li-S,1.725,0.000000
bulk_Li_vac_c1_s1,Li-S,1.775,0.000000
bulk_Li_vac_c1_s1,Li-S,1.825,0.000000
bulk_Li_vac_c1_s1,Li-S,1.875,0.000000
bulk_Li_vac_c1_s1,Li-S,1.925,0.000000
bulk_Li_vac_c1_s1,Li-S,1.975,0.000000
bulk_Li_vac_c1_s1,Li-S,2.025,0.000000
bulk_Li_vac_c1_s1,Li-S,2.075,0.000000
bulk_Li_vac_c1_s1,Li-S,2.125,0.000000
bulk_Li_vac_c1_s1,Li-S,2.175,0.000000
bulk_Li_vac_c1_s1,Li-S,2.225,0.000000
bulk_Li_vac_c1_s1,Li-S,2.275,0.262386
bulk_Li_vac_c1_s1,Li-S,2.325,3.098408
bulk_Li_vac_c1_s1,Li-S,2.375,8.988231
bulk_Li_vac_c1_s1,Li-S,2.425,8.775370
bulk_Li_vac_c1_s1,Li-S,2.475,10.567453
bulk_Li_vac_c1_s1,Li-S,2.525,4.828046
bulk_Li_vac_c1_s1,Li-S,2.575,4.096214
bulk_Li_vac_c1_s1,Li-S,2.625,1.642358
bulk_Li_vac_c1_s1,Li-S,2.675,0.569353
bulk_Li_vac_c1_s1,Li-S,2.725,0.000000
bulk_Li_vac_c1_s1,Li-S,2.775,0.058784
bulk_Li_vac_c1_s1,Li-S,2.825,0.000000
bulk_Li_vac_c1_s1,Li-S,2.875,0.054766
bulk_Li_vac_c1_s1,Li-S,2.925,0.000000
bulk_Li_vac_c1_s1,Li-S,2.975,0.000000
bulk_Li_vac_c1_s1,Li-S,3.025,0.000000
bulk_Li_vac_c1_s1,Li-S,3.075,0.000000
bulk_Li_vac_c1_s1,Li-S,3.125,0.000000
bulk_Li_vac_c1_s1,Li-S,3.175,0.000000
bulk_Li_vac_c1_s1,Li-S,3.225,0.000000
bulk_Li_vac_c1_s1,Li-S,3.275,0.000000
bulk_Li_vac_c1_s1,Li-S,3.325,0.000000
bulk_Li_vac_c1_s1,Li-S,3.375,0.000000
bulk_Li_vac_c1_s1,Li-S,3.425,0.000000
bulk_Li_vac_c1_s1,Li-S,3.475,0.000000
