structure_id,Ea_eV,Arrhenius_R2,sigma_NE_upper_300K_mS_cm,D_tracer_300K_cm2_s
bulk_Li_vac_c1_s1,0.0911,0.1733,106.9021,7.85e-07
bulk_Li_vac_c1_s2,0.1476,0.8747,39.5128,2.9015e-07
bulk_Li_vac_c2_s1,0.1008,0.3429,121.6528,8.9802e-07
bulk_Li_vac_c2_s2,0.2052,0.9589,10.2415,7.5601e-08
bulk_ordered,0.1862,0.9693,21.8501,1.5961e-07
gb_Sigma3_t1,0.1751,0.948,51.562,3.9358e-07
gb_Sigma3_t1_Li_vac_c1_s1,0.197,0.934,33.1662,2.5404e-07
gb_Sigma3_t1_Li_vac_c1_s2,0.193,0.7493,29.3193,2.2458e-07
gb_Sigma3_t1_Li_vac_c2_s1,0.1767,0.9415,52.6932,4.0503e-07
gb_Sigma3_t1_Li_vac_c2_s2,0.1434,0.9008,120.6326,9.2724e-07
gb_Sigma3_t2,0.137,0.9774,133.2557,1.0172e-06
gb_Sigma3_t2_Li_vac_c1_s1,0.1829,0.9057,40.6988,3.1174e-07
gb_Sigma3_t2_Li_vac_c1_s2,0.1858,0.9473,47.0053,3.6005e-07
gb_Sigma3_t2_Li_vac_c2_s1,0.1802,0.9476,48.1031,3.6974e-07
gb_Sigma3_t2_Li_vac_c2_s2,0.2009,0.9884,29.1134,2.2378e-07
gb_Sigma3_t3,0.1507,0.9666,90.2529,6.8891e-07
gb_Sigma3_t3_Li_vac_c1_s1,0.1888,0.9708,36.0518,2.7615e-07
gb_Sigma3_t3_Li_vac_c1_s2,0.2016,0.9532,34.1321,2.6144e-07
gb_Sigma3_t3_Li_vac_c2_s1,0.2143,0.9292,24.9887,1.9208e-07
gb_Sigma3_t3_Li_vac_c2_s2,0.161,0.9407,68.1637,5.2394e-07
