structure_id,temperature_K,n_jumps,n_li,total_time_ps,jump_freq_per_li_per_ps,jumping_li_fraction,mean_jump_distance_A,std_jump_distance_A
bulk_Li_vac_c1_s1,500,476,191,20.0,0.124607,0.9267,1.6768,0.1653
bulk_Li_vac_c1_s1,600,885,191,20.0,0.231675,0.9895,1.7126,0.1988
bulk_Li_vac_c1_s1,700,1327,191,20.0,0.347382,0.9948,1.7312,0.218
bulk_Li_vac_c1_s1,800,2149,191,20.0,0.562565,1.0,1.771,0.246
bulk_Li_vac_c1_s1,900,2971,191,20.0,0.777749,1.0,1.8021,0.2673
bulk_Li_vac_c1_s2,500,488,191,20.0,0.127749,0.911,1.6921,0.174
bulk_Li_vac_c1_s2,600,940,191,20.0,0.246073,0.9843,1.706,0.1887
bulk_Li_vac_c1_s2,700,1498,191,20.0,0.392147,1.0,1.7422,0.2226
bulk_Li_vac_c1_s2,800,2150,191,20.0,0.562827,1.0,1.7752,0.2463
bulk_Li_vac_c1_s2,900,2918,191,20.0,0.763874,1.0,1.7907,0.2639
bulk_Li_vac_c2_s1,500,520,190,20.0,0.136842,0.9211,1.6864,0.1631
bulk_Li_vac_c2_s1,600,875,190,20.0,0.230263,0.9789,1.699,0.1889
bulk_Li_vac_c2_s1,700,1593,190,20.0,0.419211,1.0,1.7494,0.2307
bulk_Li_vac_c2_s1,800,2270,190,20.0,0.597368,1.0,1.7626,0.2353
bulk_Li_vac_c2_s1,900,3053,190,20.0,0.803421,1.0,1.7951,0.2683
bulk_Li_vac_c2_s2,500,477,190,20.0,0.125526,0.8947,1.6839,0.1594
bulk_Li_vac_c2_s2,600,940,190,20.0,0.247368,0.9947,1.6952,0.174
bulk_Li_vac_c2_s2,700,1603,190,20.0,0.421842,1.0,1.7357,0.222
bulk_Li_vac_c2_s2,800,2381,190,20.0,0.626579,1.0,1.7688,0.2447
bulk_Li_vac_c2_s2,900,2981,190,20.0,0.784474,1.0,1.8009,0.2707
bulk_ordered,500,470,192,20.0,0.122396,0.9271,1.6748,0.1636
bulk_ordered,600,924,192,20.0,0.240625,0.9948,1.6995,0.1817
bulk_ordered,700,1396,192,20.0,0.363542,0.9948,1.7324,0.2095
bulk_ordered,800,2266,192,20.0,0.590104,1.0,1.7688,0.2481
bulk_ordered,900,3004,192,20.0,0.782292,1.0,1.7968,0.2728
gb_Sigma3_t1,500,747,288,20.0,0.129688,0.8819,1.6929,0.1856
