r_A,g_r
0.025,0.0
0.075,0.0
0.125,0.0
0.175,0.0
0.225,0.0
0.275,0.0
0.325,0.0
0.375,0.0
0.425,0.0
0.475,0.0
0.525,0.0
0.575,0.0
0.625,0.0
0.675,0.0
0.725,0.0
0.775,0.0
0.825,0.0
0.875,0.0
0.925,0.0
0.975,0.0
1.025,0.0
1.075,0.0
1.125,0.0
1.175,0.0
1.225,0.0
1.275,0.0
1.325,0.0
1.375,0.0
1.425,0.0
1.475,0.0
1.525,0.0
1.575,0.0
1.625,0.0
1.675,0.0
1.725,0.0
1.775,0.0
1.825,0.0
1.875,0.0
1.925,0.0
1.975,0.0
2.025,0.0
2.075,0.0
2.125,0.0
2.175,0.0
2.225,0.0
2.275,0.0
2.325,1.674815
2.375,2.808822
2.425,4.233731
2.475,9.976267
2.525,10.295099
2.575,8.533779
2.625,1.970829
2.675,0.632615
2.725,1.828839
2.775,1.469609
2.825,0.850829
2.875,0.273831
2.925,0.529099
2.975,0.0
3.025,0.0
3.075,0.23937
3.125,0.0
3.175,0.0
3.225,0.435243
3.275,0.211027
3.325,0.204728
3.375,0.0
3.425,0.385896
3.475,0.374871
3.525,0.728625
3.575,0.53129
3.625,0.0
3.675,1.00554
3.725,0.652485
3.775,1.111802
3.825,1.237629
3.875,0.602948
3.925,1.763054
3.975,1.432483
4.025,1.257403
4.075,0.817824
4.125,1.596237
4.175,1.428381
4.225,0.887583
4.275,1.486187
4.325,1.694028
4.375,1.300772
4.425,0.924758
4.475,1.017235
4.525,1.879217
4.575,1.189531
4.625,0.846509
4.675,0.828499
4.725,0.811058
4.775,1.091972
4.825,0.583341
4.875,0.666675
4.925,0.373262
4.975,0.091449
5.025,0.179277
5.075,0.175762
5.125,0.258523
5.175,0.422586
5.225,0.497445
5.275,0.24403
5.325,0.878051
5.375,0.470068
5.425,0.53835
5.475,0.67958
5.525,0.815633
5.575,0.509771
5.625,0.78689
5.675,1.546171
5.725,1.381166
5.775,1.085882
5.825,1.067321
5.875,1.311539
5.925,1.547396
5.975,1.268005
6.025,1.122342
6.075,1.717246
6.125,1.20666
6.175,1.068478
6.225,1.460254
6.275,1.32211
6.325,1.527601
6.375,1.336651
6.425,1.644911
6.475,0.809802
6.525,1.169578
6.575,0.837714
6.625,1.392385
6.675,1.219203
6.725,0.750713
6.775,1.331413
6.825,1.166201
6.875,2.10705
6.925,0.802374
6.975,0.790912
7.025,1.330065
7.075,0.81393
7.125,0.980891
7.175,0.615534
7.225,0.780485
7.275,0.427663
7.325,0.253107
7.375,0.624216
7.425,0.328447
7.475,0.607627
7.525,1.079242
7.575,0.631136
7.625,0.700746
7.675,1.114318
7.725,0.948224
7.775,0.599083
7.825,0.850212
7.875,0.912445
7.925,1.117201
7.975,1.174412
