r_A,g_r
0.025,0.0
0.075,0.0
0.125,0.0
0.175,0.0
0.225,0.0
0.275,0.0
0.325,0.0
0.375,0.0
0.425,0.0
0.475,0.0
0.525,0.0
0.575,0.0
0.625,0.0
0.675,0.0
0.725,0.0
0.775,0.0
0.825,0.0
0.875,0.0
0.925,0.0
0.975,0.0
1.025,0.0
1.075,0.0
1.125,0.0
1.175,0.0
1.225,0.0
1.275,0.0
1.325,0.0
1.375,0.0
1.425,0.0
1.475,0.0
1.525,0.0
1.575,0.0
1.625,0.0
1.675,0.0
1.725,0.0
1.775,0.0
1.825,0.0
1.875,0.0
1.925,0.0
1.975,0.0
2.025,0.0
2.075,0.0
2.125,0.0
2.175,0.0
2.225,0.0
2.275,0.304107
2.325,1.455843
2.375,4.464614
2.425,4.550062
2.475,12.847306
2.525,8.393618
2.575,3.560659
2.625,2.055786
2.675,2.419578
2.725,0.847856
2.775,0.817579
2.825,0.591671
2.875,1.332965
2.925,0.919846
2.975,0.71135
3.025,0.860036
3.075,0.832295
3.125,0.483525
3.175,0.468416
3.225,0.454005
3.275,0.293499
3.325,0.854215
3.375,0.552728
3.425,0.805063
3.475,1.04275
3.525,1.393395
3.575,1.108385
3.625,1.1978
3.675,1.048886
3.725,1.701529
3.775,1.546304
3.825,1.183398
3.875,1.153056
3.925,1.226036
3.975,0.996156
4.025,0.48578
4.075,0.758292
4.125,0.277508
4.175,0.632102
4.225,0.881757
4.275,0.430626
4.325,0.673163
4.375,0.904564
4.425,0.241156
4.475,0.628791
4.525,0.768716
4.575,0.526403
4.625,0.735833
4.675,0.864214
4.725,1.480536
4.775,0.897429
4.825,0.811316
4.875,1.258368
4.925,0.713812
4.975,0.635942
5.025,0.872689
5.075,0.67224
5.125,0.539335
5.175,0.587737
5.225,0.288271
5.275,0.339399
5.325,0.444073
5.375,0.544813
5.425,0.481335
5.475,0.577602
5.525,0.825011
5.575,1.215418
5.625,1.193907
5.675,1.368456
5.725,2.065009
5.775,2.029406
5.825,1.85555
5.875,2.462536
5.925,2.241806
5.975,1.587199
6.025,1.300804
6.075,1.450077
6.125,0.923029
6.175,0.866863
6.225,1.137324
6.275,1.039324
6.325,0.865579
6.375,0.735865
6.425,0.876974
6.475,1.126281
6.525,0.81333
6.575,0.983054
6.625,0.7531
6.675,0.883167
6.725,0.382837
6.775,0.548664
6.825,0.642027
6.875,0.56612
6.925,0.656441
6.975,1.035302
7.025,0.765463
7.075,0.786127
7.125,0.930159
7.175,1.161837
7.225,0.934741
7.275,0.654278
7.325,0.616041
7.375,1.128616
7.425,1.284769
7.475,1.098621
7.525,1.389833
7.575,1.48127
7.625,1.813848
7.675,1.576525
7.725,1.450679
7.775,1.353968
7.825,1.079658
7.875,0.913707
7.925,0.576415
7.975,0.519713
