r_A,g_r
0.025,0.0
0.075,0.0
0.125,0.0
0.175,0.0
0.225,0.0
0.275,0.0
0.325,0.0
0.375,0.0
0.425,0.0
0.475,0.0
0.525,0.0
0.575,0.0
0.625,0.0
0.675,0.0
0.725,0.0
0.775,0.0
0.825,0.0
0.875,0.0
0.925,0.0
0.975,0.0
1.025,0.0
1.075,0.0
1.125,0.0
1.175,0.0
1.225,0.0
1.275,0.0
1.325,0.0
1.375,0.0
1.425,0.0
1.475,0.0
1.525,0.0
1.575,0.0
1.625,0.0
1.675,0.0
1.725,0.0
1.775,0.0
1.825,0.0
1.875,0.0
1.925,0.0
1.975,0.0
2.025,0.0
2.075,0.0
2.125,0.0
2.175,0.0
2.225,0.0
2.275,0.0
2.325,9.285044
2.375,4.449112
2.425,4.267542
2.475,2.048432
2.525,13.77678
2.575,1.892424
2.625,5.463062
2.675,0.0
2.725,1.689824
2.775,0.0
2.825,0.0
2.875,0.0
2.925,1.466643
2.975,0.0
3.025,2.742559
3.075,0.0
3.125,1.284924
3.175,0.0
3.225,1.206475
3.275,0.0
3.325,0.0
3.375,1.101618
3.425,1.06969
3.475,0.0
3.525,3.02958
3.575,0.0
3.625,0.954913
3.675,0.0
3.725,2.712994
3.775,0.880534
3.825,0.0
3.875,1.671349
3.925,2.443558
3.975,0.794158
4.025,1.549099
4.075,1.511318
4.125,0.737451
4.175,0.0
4.225,0.0
4.275,1.373218
4.325,0.670826
4.375,0.65558
4.425,1.922546
4.475,0.626608
4.525,0.612837
4.575,0.0
4.625,1.173246
4.675,0.0
4.725,1.12411
4.775,0.550346
4.825,0.538999
4.875,0.528
4.925,1.034667
4.975,0.506987
5.025,1.490844
5.075,1.948817
5.125,0.477744
5.175,0.937114
5.225,0.459633
5.275,1.352881
5.325,0.442532
5.375,0.0
5.425,0.426367
5.475,0.418616
5.525,0.411073
5.575,0.403733
5.625,1.982936
5.675,0.38963
5.725,2.679976
5.775,3.386277
5.825,1.849107
5.875,1.817767
5.925,1.429774
5.975,1.054459
6.025,1.03703
6.075,1.70005
6.125,1.672407
6.175,0.98726
6.225,1.619107
6.275,0.956045
6.325,0.627326
6.375,0.617524
6.425,1.215901
6.475,0.598598
6.525,0.589459
6.575,1.741583
6.625,0.285899
6.675,0.281632
6.725,0.27746
6.775,1.366898
6.825,0.269389
6.875,0.796454
6.925,0.784994
6.975,0.77378
7.025,1.017073
7.075,0.250687
7.125,0.494362
7.175,0.974992
7.225,1.20193
7.275,0.711279
7.325,1.169337
7.375,0.461414
7.425,1.365662
7.475,1.122878
7.525,2.437613
7.575,1.312112
7.625,1.942441
7.675,1.065119
7.725,0.841101
7.775,0.415159
7.825,1.844416
7.875,1.214046
7.925,0.599388
7.975,0.591896
