r_A,g_r
0.025,0.0
0.075,0.0
0.125,0.0
0.175,0.0
0.225,0.0
0.275,0.0
0.325,0.0
0.375,0.0
0.425,0.0
0.475,0.0
0.525,0.0
0.575,0.0
0.625,0.0
0.675,0.0
0.725,0.0
0.775,0.0
0.825,0.0
0.875,0.0
0.925,0.0
0.975,0.0
1.025,0.0
1.075,0.0
1.125,0.0
1.175,0.0
1.225,0.0
1.275,0.0
1.325,0.0
1.375,0.0
1.425,0.0
1.475,0.0
1.525,0.0
1.575,0.0
1.625,0.0
1.675,0.0
1.725,0.0
1.775,0.0
1.825,0.0
1.875,0.0
1.925,0.0
1.975,0.0
2.025,0.0
2.075,0.0
2.125,0.0
2.175,0.0
2.225,0.0
2.275,0.0
2.325,0.0
2.375,0.0
2.425,0.0
2.475,0.0
2.525,0.0
2.575,0.0
2.625,0.191014
2.675,0.36788
2.725,0.638108
2.775,0.786243
2.825,0.626718
2.875,1.019131
2.925,0.646135
2.975,0.535371
3.025,0.661658
3.075,0.946555
3.125,1.213025
3.175,0.574504
3.225,0.65807
3.275,0.171804
3.325,0.333352
3.375,0.647097
3.425,0.942512
3.475,1.373378
3.525,0.783868
3.575,0.659109
3.625,0.400658
3.675,0.760168
3.725,1.157277
3.775,0.609593
3.825,0.845659
3.875,0.911634
3.925,0.307577
3.975,0.449832
4.025,0.682462
4.075,0.68167
4.125,0.696187
4.175,0.694714
4.225,0.648875
4.275,0.518551
4.325,0.3659
4.375,0.261312
4.425,0.537769
4.475,0.55211
4.525,0.257131
4.575,0.314427
4.625,0.319972
4.675,0.481792
4.725,0.365528
4.775,0.808191
4.825,0.5993
4.875,0.254766
4.925,0.314737
4.975,0.319079
5.025,0.469141
5.075,0.367954
5.125,0.501124
5.175,0.40302
5.225,0.376058
5.275,0.245975
5.325,0.278513
5.375,0.39181
5.425,0.429344
5.475,0.38641
5.525,0.25009
5.575,0.313383
5.625,0.499195
5.675,0.294262
5.725,0.353399
5.775,0.402559
5.825,0.465504
5.875,0.686421
5.925,0.569903
5.975,0.47192
6.025,0.46412
6.075,0.463644
6.125,0.491191
6.175,0.607537
6.225,0.591024
6.275,0.942662
6.325,0.710668
6.375,0.382169
6.425,0.618571
6.475,0.571382
6.525,0.550292
6.575,0.462793
6.625,0.395856
6.675,0.531746
6.725,0.483123
6.775,0.504695
6.825,0.384298
6.875,0.389868
6.925,0.46111
6.975,0.400413
7.025,0.394733
7.075,0.383915
7.125,0.502999
7.175,0.490899
7.225,1.094331
7.275,2.228317
7.325,0.716312
7.375,0.522715
7.425,0.482273
7.475,0.57007
7.525,0.390509
7.575,0.385371
7.625,0.466361
7.675,0.464774
7.725,0.366139
7.775,0.422412
7.825,0.455724
7.875,0.31412
7.925,0.448488
7.975,0.459438
