r_A,g_r
0.025,0.0
0.075,0.0
0.125,0.0
0.175,0.0
0.225,0.0
0.275,0.0
0.325,0.0
0.375,0.0
0.425,0.0
0.475,0.0
0.525,0.0
0.575,0.0
0.625,0.0
0.675,0.0
0.725,0.0
0.775,0.0
0.825,0.0
0.875,0.0
0.925,0.0
0.975,0.0
1.025,0.0
1.075,0.0
1.125,0.0
1.175,0.0
1.225,0.0
1.275,0.0
1.325,0.0
1.375,0.0
1.425,0.0
1.475,0.0
1.525,0.0
1.575,0.0
1.625,0.0
1.675,0.0
1.725,0.0
1.775,0.0
1.825,0.0
1.875,0.0
1.925,0.0
1.975,0.0
2.025,0.0
2.075,0.0
2.125,0.0
2.175,0.0
2.225,0.0
2.275,0.262386
2.325,3.098408
2.375,8.988231
2.425,8.77537
2.475,10.567453
2.525,4.828046
2.575,4.096214
2.625,1.642358
2.675,0.569353
2.725,0.0
2.775,0.058784
2.825,0.0
2.875,0.054766
2.925,0.0
2.975,0.0
3.025,0.0
3.075,0.0
3.125,0.0
3.175,0.0
3.225,0.0
3.275,0.0
3.325,0.0
3.375,0.0
3.425,0.0
3.475,0.0
3.525,0.036431
3.575,0.177097
3.625,0.103347
3.675,0.67036
3.725,0.456739
3.775,0.603549
3.825,0.990103
3.875,1.236044
3.925,1.32229
3.975,2.005476
4.025,1.508884
4.075,1.69017
4.125,1.250386
4.175,1.116734
4.225,1.0651
4.275,1.263259
4.325,1.476224
4.375,1.419024
4.425,1.294662
4.475,1.604971
4.525,1.326506
4.575,1.167903
4.625,0.973486
4.675,0.559237
4.725,0.669123
4.775,0.337519
4.825,0.544451
4.875,0.609532
4.925,0.877165
4.975,0.713303
5.025,0.878456
5.075,0.68547
5.125,0.77557
5.175,0.845173
5.225,0.729586
5.275,0.780895
5.325,0.766299
5.375,1.284852
5.425,1.553525
5.475,2.11425
5.525,2.224453
5.575,2.141037
5.625,1.402096
5.675,0.899591
5.725,1.049686
5.775,0.678676
5.825,1.094004
5.875,1.337769
5.925,1.650556
5.975,1.128525
6.025,0.79811
6.075,0.870889
6.125,0.977395
6.175,1.175326
6.225,1.121475
6.275,1.092178
6.325,1.210765
6.375,0.90224
6.425,0.986946
6.475,0.842194
6.525,0.595421
6.575,0.722528
6.625,0.691036
6.675,0.904243
6.725,0.670637
6.775,0.710087
6.825,0.767749
6.875,0.68958
6.925,0.63246
6.975,0.63273
7.025,0.421952
7.075,0.678275
7.125,0.864967
7.175,0.721054
7.225,0.823845
7.275,1.20601
7.325,1.189602
7.375,1.231787
7.425,1.313787
7.475,1.458304
7.525,1.375034
7.575,1.498947
7.625,1.455995
7.675,1.5831
7.725,1.600602
7.775,1.33296
7.825,1.094186
7.875,0.817551
7.925,1.0235
7.975,0.996471
