r_A,g_r
0.025,0.0
0.075,0.0
0.125,0.0
0.175,0.0
0.225,0.0
0.275,0.0
0.325,0.0
0.375,0.0
0.425,0.0
0.475,0.0
0.525,0.0
0.575,0.0
0.625,0.0
0.675,0.0
0.725,0.0
0.775,0.0
0.825,0.0
0.875,0.0
0.925,0.0
0.975,0.0
1.025,0.0
1.075,0.0
1.125,0.0
1.175,0.0
1.225,0.0
1.275,0.0
1.325,0.0
1.375,0.0
1.425,0.0
1.475,0.0
1.525,0.0
1.575,0.0
1.625,0.0
1.675,0.0
1.725,0.0
1.775,0.0
1.825,0.0
1.875,0.0
1.925,0.0
1.975,0.0
2.025,0.0
2.075,0.0
2.125,0.0
2.175,0.0
2.225,0.0
2.275,0.0
2.325,1.392757
2.375,7.563491
2.425,8.961837
2.475,8.193726
2.525,11.021424
2.575,1.892424
2.625,0.728408
2.675,0.0
2.725,0.337965
2.775,0.0
2.825,0.314462
2.875,0.30362
2.925,0.586657
2.975,0.0
3.025,0.0
3.075,0.0
3.125,0.0
3.175,0.248955
3.225,0.0
3.275,0.467967
3.325,0.227
3.375,0.0
3.425,0.213938
3.475,0.207826
3.525,0.201972
3.575,0.196362
3.625,0.190983
3.675,1.114927
3.725,0.542599
3.775,0.352214
3.825,0.686132
3.875,0.66854
3.925,0.814519
3.975,0.952989
4.025,0.92946
4.075,1.511318
4.125,1.032432
4.175,1.439788
4.225,0.702956
4.275,1.373218
4.325,1.207486
4.375,1.180044
4.425,1.538037
4.475,1.629181
4.525,1.470809
4.575,1.079127
4.625,0.703947
4.675,0.574142
4.725,0.786877
4.775,0.550346
4.825,0.431199
4.875,0.3168
4.925,0.3104
4.975,0.811179
5.025,0.397558
5.075,0.876968
5.125,1.051037
5.175,1.030826
5.225,0.827339
5.275,0.811729
5.325,0.70805
5.375,0.694939
5.425,2.131837
5.475,1.33957
5.525,2.13758
5.575,1.614931
5.625,1.824301
5.675,1.480593
5.725,0.99542
5.775,0.827757
5.825,0.665679
5.875,1.308792
5.925,1.000842
5.975,0.77327
6.025,1.175301
6.075,0.816024
6.125,1.070341
6.175,1.250529
6.225,1.036229
6.275,1.147253
6.325,1.317385
6.375,0.988039
6.425,0.911926
6.475,1.197195
6.525,1.061026
6.575,0.638581
6.625,0.743338
6.675,1.013875
6.725,0.998855
6.775,0.601435
6.825,0.915922
6.875,0.743357
6.925,0.627995
6.975,0.77378
7.025,1.017073
7.075,0.701924
7.125,0.692107
7.175,0.828743
7.225,0.86539
7.275,0.948372
7.325,1.029017
7.375,1.199677
7.425,1.32014
7.475,0.943218
7.525,1.285287
7.575,1.224638
7.625,1.294961
7.675,1.576377
7.725,0.967266
7.775,1.162445
7.825,0.778754
7.875,0.768896
7.925,0.679306
7.975,0.907573
