r_A,g_r
0.025,0.0
0.075,0.0
0.125,0.0
0.175,0.0
0.225,0.0
0.275,0.0
0.325,0.0
0.375,0.0
0.425,0.0
0.475,0.0
0.525,0.0
0.575,0.0
0.625,0.0
0.675,0.0
0.725,0.0
0.775,0.0
0.825,0.0
0.875,0.0
0.925,0.0
0.975,0.0
1.025,0.0
1.075,0.0
1.125,0.0
1.175,0.0
1.225,0.0
1.275,0.0
1.325,0.0
1.375,0.0
1.425,0.0
1.475,0.0
1.525,0.0
1.575,0.0
1.625,0.0
1.675,0.0
1.725,0.0
1.775,0.0
1.825,0.0
1.875,0.0
1.925,0.0
1.975,0.0
2.025,0.0
2.075,0.0
2.125,0.0
2.175,0.0
2.225,0.0
2.275,0.0
2.325,16.713079
2.375,0.0
2.425,25.999176
2.475,0.0
2.525,0.0
2.575,0.0
2.625,0.0
2.675,0.0
2.725,0.0
2.775,0.0
2.825,0.0
2.875,0.0
2.925,0.0
2.975,0.0
3.025,0.0
3.075,0.0
3.125,0.517564
3.175,0.0
3.225,0.0
3.275,0.0
3.325,0.0
3.375,0.0
3.425,0.0
3.475,0.0
3.525,0.0
3.575,0.0
3.625,0.384636
3.675,0.0
3.725,0.364262
3.775,0.0
3.825,0.0
3.875,0.0
3.925,0.0
3.975,0.0
4.025,0.0
4.075,0.0
4.125,17.67408
4.175,0.0
4.225,0.283149
4.275,0.0
4.325,0.0
4.375,0.0
4.425,0.0
4.475,0.0
4.525,0.246849
4.575,0.0
4.625,7.029628
4.675,0.115631
4.725,0.0
4.775,0.0
4.825,0.0
4.875,0.0
4.925,0.416761
4.975,0.306319
5.025,0.300254
5.075,0.490611
5.125,0.096217
5.175,0.377467
5.225,0.185139
5.275,0.0
5.325,0.089125
5.375,0.0
5.425,0.0
5.475,10.201339
5.525,3.932504
5.575,0.0
5.625,0.0
5.675,0.078471
5.725,0.0
5.775,0.0
5.825,0.0
5.875,8.71308
5.925,0.0
5.975,0.0
6.025,0.278475
6.075,0.136955
6.125,0.269456
6.175,0.26511
6.225,0.391303
6.275,0.128364
6.325,0.126343
6.375,3.948701
6.425,0.183661
6.475,0.301392
6.525,0.118716
6.575,0.116917
6.625,0.0
6.675,0.340322
6.725,6.649722
6.775,3.275967
6.825,0.217018
6.875,0.0
6.925,0.0
6.975,0.207784
7.025,0.204837
7.075,0.100976
7.125,0.298691
7.175,0.441815
7.225,0.387307
7.275,0.286501
7.325,0.188402
7.375,0.092928
7.425,0.183362
7.475,0.045229
7.525,0.357041
7.575,0.176172
7.625,9.915959
7.675,7.953091
7.725,0.0
7.775,0.125419
7.825,0.165095
7.875,0.0
7.925,0.955667
7.975,0.158943
