r_A,g_r
0.025,0.0
0.075,0.0
0.125,0.0
0.175,0.0
0.225,0.0
0.275,0.0
0.325,0.0
0.375,0.0
0.425,0.0
0.475,0.0
0.525,0.0
0.575,0.0
0.625,0.0
0.675,0.0
0.725,0.0
0.775,0.0
0.825,0.0
0.875,0.0
0.925,0.0
0.975,0.0
1.025,0.0
1.075,0.0
1.125,0.0
1.175,0.0
1.225,0.0
1.275,0.0
1.325,0.0
1.375,0.0
1.425,0.0
1.475,0.0
1.525,0.0
1.575,0.0
1.625,0.0
1.675,0.0
1.725,0.0
1.775,0.0
1.825,0.0
1.875,0.0
1.925,0.0
1.975,0.965052
2.025,4.589927
2.075,51.582535
2.125,2.917682
2.175,7.559513
2.225,6.463214
2.275,2.18197
2.325,1.044567
2.375,0.0
2.425,0.0
2.475,0.0
2.525,0.0
2.575,0.0
2.625,0.0
2.675,0.0
2.725,0.0
2.775,0.0
2.825,0.0
2.875,0.0
2.925,0.439993
2.975,0.212664
3.025,0.411384
3.075,0.597172
3.125,0.0
3.175,0.0
3.225,0.0
3.275,0.0
3.325,0.0
3.375,0.330485
3.425,0.0
3.475,0.0
3.525,0.0
3.575,0.0
3.625,0.0
3.675,0.278732
3.725,0.0
3.775,0.0
3.825,0.12865
3.875,0.0
3.925,0.244356
3.975,0.476495
4.025,0.348547
4.075,0.340047
4.125,0.331853
4.175,0.53992
4.225,0.210887
4.275,0.411965
4.325,0.301871
4.375,0.491685
4.425,1.538037
4.475,3.947631
4.525,4.228576
4.575,1.708618
4.625,0.615954
4.675,0.344485
4.725,0.252925
4.775,0.082552
4.825,0.1617
4.875,0.1584
4.925,0.0
4.975,0.152096
5.025,0.223627
5.075,0.073081
5.125,0.286647
5.175,0.140567
5.225,0.482614
5.275,0.202932
5.325,0.597418
5.375,0.195452
5.425,0.511641
5.475,0.941885
5.525,0.739932
5.575,1.937917
5.625,3.152868
5.675,3.623557
5.725,3.732824
5.775,4.740788
5.825,3.1065
5.875,2.453986
5.925,1.447646
5.975,0.527229
6.025,0.725921
6.075,0.663019
6.125,0.301033
6.175,0.197452
6.225,0.388586
6.275,0.143407
6.325,0.141148
6.375,0.092629
6.425,0.182385
6.475,0.044895
6.525,0.176838
6.575,0.391856
6.625,0.042885
6.675,0.168979
6.725,0.083238
6.775,0.205035
6.825,0.202042
6.875,0.159291
6.925,0.274748
6.975,0.232134
7.025,0.152561
7.075,0.601649
7.125,0.630312
7.175,0.694682
7.225,0.504811
7.275,0.675715
7.325,0.420961
7.375,1.142
7.425,1.263238
7.475,2.661221
7.525,4.487423
7.575,3.837929
7.625,2.97841
7.675,2.716055
7.725,1.924018
7.775,2.086173
7.825,1.198871
7.875,0.455267
7.925,0.569418
7.975,0.532706
