r_A,g_r
0.025,0.0
0.075,0.0
0.125,0.0
0.175,0.0
0.225,0.0
0.275,0.0
0.325,0.0
0.375,0.0
0.425,0.0
0.475,0.0
0.525,0.0
0.575,0.0
0.625,0.0
0.675,0.0
0.725,0.0
0.775,0.0
0.825,0.0
0.875,0.0
0.925,0.0
0.975,0.0
1.025,0.0
1.075,0.0
1.125,0.0
1.175,0.0
1.225,0.0
1.275,0.0
1.325,0.0
1.375,0.0
1.425,0.0
1.475,0.0
1.525,0.0
1.575,0.0
1.625,0.0
1.675,0.0
1.725,0.0
1.775,0.0
1.825,0.0
1.875,0.0
1.925,0.0
1.975,0.0
2.025,14.687766
2.075,52.456816
2.125,3.334494
2.175,3.182953
2.225,0.0
2.275,0.0
2.325,0.0
2.375,0.0
2.425,0.0
2.475,0.0
2.525,0.0
2.575,0.0
2.625,0.0
2.675,0.0
2.725,0.0
2.775,0.0
2.825,0.0
2.875,0.0
2.925,0.0
2.975,0.0
3.025,0.0
3.075,0.0
3.125,0.0
3.175,0.0
3.225,1.447771
3.275,0.0
3.325,0.0
3.375,0.0
3.425,0.0
3.475,0.0
3.525,0.0
3.575,0.0
3.625,1.145895
3.675,0.0
3.725,0.0
3.775,2.113283
3.825,0.0
3.875,1.00281
3.925,0.0
3.975,0.952989
4.025,0.0
4.075,0.0
4.125,0.0
4.175,0.863873
4.225,0.0
4.275,0.823931
4.325,0.804991
4.375,0.786696
4.425,0.0
4.475,6.767368
4.525,2.206214
4.575,0.719418
4.625,0.703947
4.675,0.68897
4.725,0.674466
4.775,0.0
4.825,0.0
4.875,0.0
4.925,0.0
4.975,1.216769
5.025,0.0
5.075,0.584645
5.125,0.0
5.175,0.0
5.225,1.103118
5.275,1.082305
5.325,0.531038
5.375,1.042408
5.425,0.0
5.475,1.507016
5.525,0.0
5.575,0.484479
5.625,1.427714
5.675,3.740445
5.725,6.431943
5.775,4.966539
5.825,1.331357
5.875,0.872528
5.925,1.715729
5.975,0.0
6.025,0.0
6.075,0.0
6.125,0.802755
6.175,0.0
6.225,0.777171
6.275,0.382418
6.325,0.0
6.375,0.0
6.425,0.36477
6.475,0.0
6.525,0.0
6.575,0.348317
6.625,0.686158
6.675,0.0
6.725,0.0
6.775,0.328055
6.825,0.323266
6.875,0.955745
6.925,0.627995
6.975,0.309512
7.025,0.610244
7.075,0.300824
7.125,0.296617
7.175,1.16999
7.225,0.86539
7.275,0.569023
7.325,0.841923
7.375,0.0
7.425,1.638795
7.475,3.233889
7.525,4.520664
7.575,4.461182
7.625,2.589922
7.675,2.556287
7.725,2.018642
7.775,1.494572
7.825,1.260351
7.875,0.940886
7.925,0.719265
7.975,0.473516
