structure_id,shap_is_bulk,shap_is_gb,shap_translation_index,shap_vacancy_count,shap_has_vacancy,shap_natoms,shap_li_count,shap_p_count,shap_s_count,shap_cl_count,shap_lattice_a_A,shap_lattice_b_A,shap_lattice_c_A,shap_volume_ang3,shap_mass_density_g_cm3,shap_li_fraction,shap_li_number_density_per_A3,shap_gb_delta_A,shap_gb_z0_A,shap_min_pair_distance_A,shap_li_s_nn_mean_A,shap_li_s_nn_std_A,shap_li_s_nn_min_A,shap_li_s_nn_max_A,shap_li_cl_nn_mean_A,shap_li_cl_nn_std_A,shap_li_cl_nn_min_A,shap_li_cl_nn_max_A,shap_li_li_nn_mean_A,shap_li_li_nn_std_A,shap_li_li_nn_min_A,shap_li_li_nn_max_A,shap_p_s_nn_mean_A,shap_p_s_nn_std_A,shap_p_s_nn_min_A,shap_p_s_nn_max_A,shap_li_s_coord_3p0_mean,shap_li_s_coord_3p0_std,shap_li_cl_coord_3p5_mean,shap_li_cl_coord_3p5_std
bulk_ordered,-0.011726,-0.002945,-0.010129,0.003550,0.003947,-0.005659,-0.009818,-0.009019,0.000000,-0.011136,-0.011347,-0.010313,-0.006257,-0.011490,-0.012713,0.001717,-0.014360,-0.010880,-0.016226,-0.000017,-0.001720,-0.001740,-0.002599,-0.005730,-0.009711,-0.006890,-0.012744,-0.010946,-0.014270,-0.001449,-0.004777,-0.002699,0.000029,0.000000,-0.000010,-0.004508,-0.021668,-0.005445,0.000000,0.000000
bulk_Li_vac_c1_s1,-0.013577,-0.003349,-0.011288,-0.000895,-0.001370,-0.011097,-0.018961,-0.009019,0.000000,-0.012147,-0.012095,-0.011286,-0.006614,-0.013980,-0.016906,-0.000949,-0.017765,-0.012447,-0.018568,-0.000017,-0.010144,-0.010577,-0.002918,-0.006450,-0.015138,-0.009298,-0.013601,-0.012436,-0.022883,-0.006500,-0.005389,-0.002699,0.000029,0.000000,-0.000010,-0.004508,-0.024604,-0.005965,0.000000,0.000000
bulk_Li_vac_c1_s2,-0.012901,-0.003349,-0.010695,-0.001109,-0.001378,-0.010359,-0.016921,-0.009019,0.000000,-0.012161,-0.011773,-0.011068,-0.006257,-0.012836,-0.015169,-0.001046,-0.017326,-0.011824,-0.017848,-0.000017,-0.002553,-0.002246,-0.002722,-0.006092,-0.010837,-0.009173,-0.013601,-0.012107,-0.016298,-0.001199,-0.005154,-0.002699,0.000029,0.000000,-0.000010,-0.004508,-0.023273,-0.005803,0.000000,0.000000
bulk_Li_vac_c2_s1,-0.013216,-0.003349,-0.010192,-0.000796,-0.001156,-0.009984,-0.017212,-0.008726,0.000000,-0.012150,-0.011469,-0.011106,-0.006257,-0.013715,-0.015289,-0.004844,-0.018260,-0.011944,-0.019138,-0.000017,-0.004815,-0.006707,-0.002918,-0.006426,-0.011991,-0.008804,-0.013490,-0.012124,-0.016510,-0.003044,-0.005288,-0.003291,0.000029,0.000000,-0.000010,-0.004508,-0.023778,-0.005967,0.000000,0.000000
bulk_Li_vac_c2_s2,-0.013216,-0.003349,-0.010192,-0.000796,-0.001156,-0.009984,-0.017212,-0.008726,0.000000,-0.012150,-0.011469,-0.011106,-0.006257,-0.013715,-0.015289,-0.004844,-0.018260,-0.011944,-0.019138,-0.000017,-0.004815,-0.006707,-0.002918,-0.006426,-0.011991,-0.008804,-0.013490,-0.012124,-0.016510,-0.003044,-0.005288,-0.003291,0.000029,0.000000,-0.000010,-0.004508,-0.023778,-0.005967,0.000000,0.000000
gb_Sigma3_t1,0.003420,0.000591,-0.010998,0.000325,0.001225,0.003517,0.005477,0.002153,0.000000,0.003941,0.004225,0.004417,0.001876,0.005572,0.005039,-0.000197,0.003138,0.004288,0.005915,-0.000028,0.000314,0.001067,0.001371,0.002056,0.004501,0.002362,0.002932,0.003522,0.004059,0.000134,0.001969,0.000675,0.000063,0.000000,-0.000017,0.000237,0.005353,0.001750,0.000000,0.000000
gb_Sigma3_t1_Li_vac_c1_s1,0.003487,0.000591,-0.010112,-0.001245,-0.000382,0.001762,0.004558,0.002064,0.000000,0.004044,0.004359,0.004458,0.001792,0.005836,0.005112,-0.000972,0.002191,0.004382,0.005924,-0.000028,0.000563,0.001102,0.001251,0.001931,0.004416,0.002508,0.002735,0.003695,0.000273,-0.002922,0.001918,0.000675,0.000063,0.000000,-0.000017,0.000226,0.001849,-0.001836,0.000000,0.000000
gb_Sigma3_t1_Li_vac_c1_s2,0.003487,0.000591,-0.010112,-0.001245,-0.000382,0.001762,0.004558,0.002064,0.000000,0.004044,0.004359,0.004458,0.001792,0.005836,0.005112,-0.000972,0.002191,0.004382,0.005924,-0.000028,0.000563,0.001102,0.001251,0.001931,0.004416,0.002508,0.002735,0.003695,0.000273,-0.002922,0.001918,0.000675,0.000063,0.000000,-0.000017,0.000226,0.001849,-0.001836,0.000000,0.000000
gb_Sigma3_t1_Li_vac_c2_s1,0.003744,0.000608,0.003040,0.001393,-0.000290,0.002977,0.007219,0.002187,0.000000,0.004226,0.004375,0.004770,0.001889,0.006195,0.007107,0.000583,0.004042,0.004556,0.006274,-0.000096,0.000740,0.001237,0.001370,0.002183,0.004769,0.002645,0.002948,0.003784,0.008953,0.004875,0.001986,0.000675,0.000054,0.000000,-0.000061,0.000228,0.006940,0.004863,0.000000,0.000000
gb_Sigma3_t1_Li_vac_c2_s2,0.003744,0.000608,0.003040,0.001393,-0.000290,0.002977,0.007219,0.002187,0.000000,0.004226,0.004375,0.004770,0.001889,0.006195,0.007107,0.000583,0.004042,0.004556,0.006274,-0.000096,0.000740,0.001237,0.001370,0.002183,0.004769,0.002645,0.002948,0.003784,0.008953,0.004875,0.001986,0.000675,0.000054,0.000000,-0.000061,0.000228,0.006940,0.004863,0.000000,0.000000
