structure_id,run_name,target_T_K,final_T_K,deviation_pct
bulk_Li_vac_c1_s1,md_500K_20000steps,500,509.1,1.8
bulk_Li_vac_c1_s1,md_600K_20000steps,600,587.8,2.0
bulk_Li_vac_c1_s1,md_600K_20000steps_seed2,600,593.4,1.1
bulk_Li_vac_c1_s1,md_600K_20000steps_seed3,600,640.9,6.8
bulk_Li_vac_c1_s1,md_600K_50000steps,600,574.0,4.3
bulk_Li_vac_c1_s1,md_700K_20000steps,700,692.1,1.1
bulk_Li_vac_c1_s1,md_700K_20000steps_seed2,700,729.0,4.1
bulk_Li_vac_c1_s1,md_700K_20000steps_seed3,700,723.4,3.3
bulk_Li_vac_c1_s1,md_800K_20000steps,800,818.7,2.3
bulk_Li_vac_c1_s1,md_800K_20000steps_seed2,800,795.4,0.6
bulk_Li_vac_c1_s1,md_800K_20000steps_seed3,800,788.3,1.5
bulk_Li_vac_c1_s1,md_900K_20000steps,900,903.1,0.3
bulk_Li_vac_c1_s2,md_500K_20000steps,500,518.8,3.8
bulk_Li_vac_c1_s2,md_600K_20000steps,600,620.1,3.4
bulk_Li_vac_c1_s2,md_600K_20000steps_seed2,600,609.4,1.6
bulk_Li_vac_c1_s2,md_600K_20000steps_seed3,600,624.7,4.1
bulk_Li_vac_c1_s2,md_600K_50000steps,600,564.6,5.9
bulk_Li_vac_c1_s2,md_700K_20000steps,700,722.3,3.2
bulk_Li_vac_c1_s2,md_700K_20000steps_seed2,700,696.7,0.5
bulk_Li_vac_c1_s2,md_700K_20000steps_seed3,700,745.3,6.5
bulk_Li_vac_c1_s2,md_800K_20000steps,800,817.7,2.2
bulk_Li_vac_c1_s2,md_800K_20000steps_seed2,800,765.8,4.3
bulk_Li_vac_c1_s2,md_800K_20000steps_seed3,800,735.1,8.1
bulk_Li_vac_c1_s2,md_900K_20000steps,900,888.5,1.3
bulk_Li_vac_c2_s1,md_500K_20000steps,500,509.3,1.9
bulk_Li_vac_c2_s1,md_600K_20000steps,600,642.3,7.0
bulk_Li_vac_c2_s1,md_600K_20000steps_seed2,600,623.2,3.9
bulk_Li_vac_c2_s1,md_600K_20000steps_seed3,600,622.0,3.7
bulk_Li_vac_c2_s1,md_600K_50000steps,600,611.4,1.9
bulk_Li_vac_c2_s1,md_700K_20000steps,700,746.2,6.6
bulk_Li_vac_c2_s1,md_700K_20000steps_seed2,700,679.8,2.9
bulk_Li_vac_c2_s1,md_700K_20000steps_seed3,700,682.3,2.5
bulk_Li_vac_c2_s1,md_800K_20000steps,800,839.8,5.0
bulk_Li_vac_c2_s1,md_800K_20000steps_seed2,800,842.4,5.3
bulk_Li_vac_c2_s1,md_800K_20000steps_seed3,800,774.6,3.2
bulk_Li_vac_c2_s1,md_900K_20000steps,900,970.4,7.8
bulk_Li_vac_c2_s2,md_500K_20000steps,500,506.1,1.2
bulk_Li_vac_c2_s2,md_600K_20000steps,600,597.0,0.5
bulk_Li_vac_c2_s2,md_600K_50000steps,600,615.6,2.6
bulk_Li_vac_c2_s2,md_700K_20000steps,700,762.8,9.0
bulk_Li_vac_c2_s2,md_800K_20000steps,800,828.5,3.6
bulk_Li_vac_c2_s2,md_900K_20000steps,900,874.0,2.9
bulk_ordered,md_500K_20000steps,500,556.2,11.2
bulk_ordered,md_600K_20000steps,600,589.1,1.8
bulk_ordered,md_600K_50000steps,600,558.2,7.0
bulk_ordered,md_700K_20000steps,700,712.5,1.8
bulk_ordered,md_800K_20000steps,800,831.3,3.9
