frequency_THz,vdos
0.0,0.113466
0.1,0.050081
0.2,0.021871
0.3,0.019783
0.4,0.016779
0.5,0.017152
0.6,0.046638
0.7,0.088461
0.8,0.06145
0.9,0.022972
1.0,0.08693
1.1,0.043584
1.2,0.034579
1.3,0.040243
1.4,0.047165
1.5,0.01396
1.6,0.055355
1.7,0.076136
1.8,0.06864
1.9,0.039923
2.0,0.025638
2.1,0.044978
2.2,0.051123
2.3,0.044704
2.4,0.0463
2.5,0.049491
2.6,0.027159
2.7,0.029626
2.8,0.038884
2.9,0.02172
3.0,0.008552
3.1,0.006509
3.2,0.011245
3.3,0.016629
3.4,0.010147
3.5,0.00583
3.6,0.016797
3.7,0.016249
3.8,0.009055
3.9,0.006656
4.0,0.004861
4.1,0.004519
4.2,0.004518
4.3,0.001546
4.4,0.002968
4.5,0.002267
4.6,0.001504
4.7,0.000861
4.8,0.001184
4.9,0.000503
5.0,0.000681
