frequency_THz,vdos
0.0,0.152641
0.1,0.080314
0.2,0.016552
0.3,0.013368
0.4,0.010729
0.5,0.019585
0.6,0.027171
0.7,0.045169
0.8,0.003902
0.9,0.047413
1.0,0.043481
1.1,0.03038
1.2,0.004691
1.3,0.023947
1.4,0.028343
1.5,0.01515
1.6,0.017409
1.7,0.033701
1.8,0.012383
1.9,0.018458
2.0,0.016279
2.1,0.018379
2.2,0.014471
2.3,0.018933
2.4,0.02555
2.5,0.01032
2.6,0.020367
2.7,0.011065
2.8,0.005808
2.9,0.020201
3.0,0.019379
3.1,0.021708
3.2,0.011585
3.3,0.013286
3.4,0.020435
3.5,0.004267
3.6,0.006421
3.7,0.015431
3.8,0.009607
3.9,0.006155
4.0,0.002819
4.1,0.004741
4.2,0.002277
4.3,0.002736
4.4,0.002774
4.5,0.000902
4.6,0.00231
4.7,0.001033
4.8,0.001157
4.9,0.000511
5.0,0.000778
