frequency_THz,vdos
0.0,0.053335
0.1,0.007938
0.2,0.022174
0.3,0.015568
0.4,0.017886
0.5,0.035606
0.6,0.030277
0.7,0.031889
0.8,0.009619
0.9,0.040229
1.0,0.03869
1.1,0.035498
1.2,0.029224
1.3,0.018229
1.4,0.026295
1.5,0.020509
1.6,0.035802
1.7,0.034512
1.8,0.036449
1.9,0.044578
2.0,0.034043
2.1,0.010714
2.2,0.014988
2.3,0.005199
2.4,0.01559
2.5,0.006933
2.6,0.004822
2.7,0.008351
2.8,0.017416
2.9,0.007046
3.0,0.01137
3.1,0.007609
3.2,0.016141
3.3,0.014471
3.4,0.007702
3.5,0.012535
3.6,0.01098
3.7,0.012258
3.8,0.009109
3.9,0.00119
4.0,0.005082
4.1,0.003966
4.2,0.004762
4.3,0.002343
4.4,0.002121
4.5,0.000191
4.6,0.00132
4.7,0.000563
4.8,0.000739
4.9,0.000906
5.0,0.00076
