frequency_THz,vdos
0.0,0.020684
0.1,0.009974
0.2,0.013354
0.3,0.023604
0.4,0.015321
0.5,0.038499
0.6,0.017045
0.7,0.0194
0.8,0.017566
0.9,0.021948
1.0,0.031086
1.1,0.025608
1.2,0.037362
1.3,0.02307
1.4,0.046163
1.5,0.051911
1.6,0.03249
1.7,0.008767
1.8,0.014627
1.9,0.028929
2.0,0.006507
2.1,0.02345
2.2,0.02513
2.3,0.012209
2.4,0.011115
2.5,0.019677
2.6,0.022468
2.7,0.026394
2.8,0.023409
2.9,0.015136
3.0,0.014599
3.1,0.010309
3.2,0.001218
3.3,0.014385
3.4,0.018086
3.5,0.008792
3.6,0.007703
3.7,0.006039
3.8,0.002355
3.9,0.009705
4.0,0.002598
4.1,0.003588
4.2,0.004935
4.3,0.003639
4.4,0.001409
4.5,0.001174
4.6,0.001779
4.7,0.000972
4.8,0.000991
4.9,0.000708
5.0,0.000785
